area,recommendation,basis,risk
10-Year Vision,The execution layer for healthcare operations: the system that completes work other systems only recommend,LAW02 + commit gap (4 independent confirmations),Category may be absorbed by HMIS vendors if they wake up
Beachhead Market,"Indian private multi-specialty hospitals, 100-500 beds, ABDM-certified HMIS installed. Entry workflow: OT turnover/scheduling OR claim validation",Phase6 T1 robust across all 5 weightings; LAW11 fragmentation; LAW12 NHCX rail live,Unknown whether HMIS already covers these internally (G-4.2)
Category Positioning,"NOT an EHR, NOT a copilot, NOT a scribe. ""Operational execution agent"" - sits beside the HMIS and completes multi-step internal work",LAW01 never replace SoR; DL-049 scribe excluded (19 competitors); Phase7 dashboards are legacy,Category has no existing budget line
Distribution,Direct founder-led to 1-3 hospitals; then ABDM-certified HMIS vendors as channel (253 fragmented vendors need differentiation),DL-007 solo; LAW11; HPID gives named targets with contacts,Long enterprise cycles vs solo runway
Pricing,"DERIVE FROM FIRST PRINCIPLES - do not inherit. Start: per-completed-workflow outcome pricing (e.g. per validated claim, per theatre turnover saved)",DL-034 all 7 pricing patterns failed corroboration; LAW02 value is in completion,Outcome pricing requires measurement infrastructure Ovexis must build
Moat,Adapter coverage x completed-workflow outcome data (R6 flywheel). Neither is buyable; both compound,Phase8 R6; LAW02 only completion generates data,Thin until first workflows complete; no moat at all for 12+ months
AI Strategy,"Model-agnostic. Local for PHI, cloud for general reasoning. Never train foundation models",ENG07; Phase5 arch_llm_wrapper GREEN 18 cos = commodity,Local model quality ceiling
Healthcare Strategy,Stay out of clinical decisions entirely for 24 months. Operational and financial workflows only,LAW04 liability bounds automation; Phase6 all clinical opportunities T4-blocked,Ceiling on TAM; perceived as unambitious
Technical Strategy,Stage 0 wiring before features (DL-057). Depth-first adapters. Workflow engine as the core build,"Phase11 F-11.1 76% unreachable; ENG08, ENG12, DL-059",Months of invisible work with nothing to demo
Regulatory Strategy,Deliberately stay below SaMD threshold. ABDM M1-M3 certification as the credential. DPDP compliance by design,LAW04; Phase6 liability tiers; ABDM cert is the recognised trust signal in India,Regulatory definitions may shift
Hiring Strategy,"NO HIRES until one workflow completes end-to-end in one hospital. First hire: a hospital operations person, not an engineer",DL-007 no team; G-4.2 the pivotal unknown is domain not technical,Solo capacity limits parallelism
Capital Allocation,"Zero-capital Stage 0. Any capital raised goes to: (1) one design-partner hospital, (2) ABDM sandbox integration, (3) NOT marketing",DL-052 leverage is sequencing not build volume,No funding data exists for Ovexis (Phase0 unknown)
Partnership Strategy,"Target the 13 NHA-rated HMIS vendors (govt-published quality scores) as integration partners, not competitors",LAW01; HPID govt ratings are a free qualified target list; LAW11,Vendors may see an agent as a threat to their roadmap
Platform Strategy,Adapter SDK only after 10 workflows complete. Platform before product is the 149-adapter mistake repeated,Phase8 R6; CB-04,Slower ecosystem formation
Global Expansion,"India first, deeply. US entry only via a US-specific rail (clearinghouse partnership), never by porting","DL-018, DL-023 one product two substrates; LAW12 US network must be bought",India-only revenue may cap valuation narrative
