rank,tier,platform_id,name,company,website,categories,sector,country,deployment_footprint,source_type,abdm_certified,abdm_integrated_date,abdm_expiry,abdm_listings,security_audit_cert,govt_product_rating,score_market_importance,score_automation_potential,score_api_quality,score_ui_automation,score_fhir_readiness,score_security,score_integration_difficulty,score_maintenance_burden,score_strategic_importance,recommended_priority,confidence,last_verified,evidence,notes
1,P0,IN-abha-abdm-core-hfr-hpr-hie-cm,"ABHA / ABDM core (HFR, HPR, HIE-CM)",National Health Authority,https://abdm.gov.in,National Infra,government,India,NATIONAL,CURATED,False,,,0,False,,10,8.6,10,6,10,4,1,5,8.1,8.8,VERIFIED,2026-07-25,https://abdm.gov.in/our-partners,National registries + consent manager. FHIR R4 based. M1/M2/M3 milestones. Mandatory-in-practice for AB-PMJAY empanelled hospitals. THE integration substrate for every Indian adapter.
2,P0,IN-cdac,CDAC,CDAC,https://www.cdac.in/index.aspx?id=noida,Connectors|HMIS,government,India,NATIONAL,ABDM_REGISTRY,True,2021-06-28,2025-02-28,1,False,4.0,10,6.2,4,8,8,5,5.4,5.4,8.4,8.5,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
3,P0,IN-practo,Practo,Practo,https://healthrx.co.in/,HMIS,private,India,LARGE,ABDM_REGISTRY,True,2023-04-03,,1,False,3.5,9.0,7.1,6,8,8,5,4.2,5.4,8.0,8.1,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
4,P0,IN-nic,NIC,NIC,https://ehospital.gov.in/ehospitalsso/,HMIS,government,India,NATIONAL,ABDM_REGISTRY,True,2020-12-13,,1,False,,10,6.2,4,8,8,5,5.4,5.4,7.4,7.9,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
5,P0,IN-karexpert,KareXpert,KareXpert,https://www.karexpert.com/,HMIS,private,India,LARGE,ABDM_REGISTRY,True,2023-06-30,2024-08-17,1,False,,9.0,7.1,6,8,8,5,4.2,5.4,7.1,7.5,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
6,P0,IN-e-hospital-nextgen-e-hmis,e-Hospital / NextGen e-HMIS,National Informatics Centre (NIC),https://ehospital.gov.in,HMIS,government,India,NATIONAL,CURATED,False,,,0,False,,10,4.7,4,6,4,4,7.0,5,6.9,7.4,VERIFIED,2026-07-25,https://www.barandbench.com/news/delhi-high-court-directs-surprise-audit-of-government-hospitals-over-implementation-of-nextgen-e-hmis-portal,NIC's national govt HMIS; ABDM-registered partner. NextGen e-HMIS under active rollout in 38 Delhi govt hospitals; Delhi HC ordered NIC surprise audit Jul 2026 over inconsistent implementation - indicates real deployment but uneven data quality.
7,P0,IN-e-sushrut,e-Sushrut,C-DAC Noida (Govt of India),https://www.cdac.in,HMIS,government,India,NATIONAL,CURATED,False,,,0,False,,10,4.7,4,6,4,4,7.0,5,6.9,7.4,VERIFIED,2026-07-25,https://www.pib.gov.in/PressReleseDetailm.aspx?PRID=2156603,"Flagship govt HMIS. In use at 17 AIIMS and 4,000+ health facilities (PIB, Aug 2025). Statewide Maharashtra: 847 facilities live, expanding to 2,667 incl. PHCs. Strong Rajasthan presence."
8,P0,IN-healthplix,HealthPlix,HealthPlix,https://healthplix.com/,HMIS,private,India,LARGE,ABDM_REGISTRY,True,2023-12-19,2024-12-31,1,True,,9.0,6.7,5,8,8,7,4.8,5.4,7.0,7.4,VERIFIED,2026-07-25,https://abdm.gov.in/strapicms/api/our-partners  (ABDM official partner registry API),
9,P0,IN-bahmni,Bahmni,Bahmni Coalition (orig. ThoughtWorks),https://www.bahmni.org,HMIS,open-source,India/Global,LARGE,CURATED,False,,,0,False,,8.0,8.7,9,8,9,4,2.0,5,7.0,7.4,VERIFIED,2026-07-25,https://www.bahmni.org/faq,"Open-source HIS distribution bundling OpenMRS (EMR), OpenELIS (LIS), Odoo/ERPNext (ERP/billing), dcm4chee (PACS). REST APIs + Atom feeds. Used at JSS Bilaspur, other Indian NGO/charitable hospitals."
10,P0,IN-openmrs,OpenMRS,OpenMRS Inc. (community),https://openmrs.org,EMR,open-source,Global,LARGE,CURATED,False,,,0,False,,7.6,8.7,9,8,9,4,2.0,5,6.8,7.2,VERIFIED,2026-07-25,https://openmrs.org,"Java/Spring/Hibernate + MySQL EMR platform; REST + FHIR modules. Backend of Bahmni. 8,000+ sites, 40+ countries (secondary est.)."
