id,law,confidence,sources,evidence,implication
LAW01,Hospitals rarely replace their core system of record,HIGH,16,Phase5 bot_incumbent_lockin GREEN 16 cos/209 hits both axes; Phase2 F-2.4 0/19 occupy SoR; Phase8 B2,"Build beside the HMIS, never against it (DL-020)"
LAW02,Software that cannot complete an action cannot learn from it,HIGH,21,"Phase8 R1 self-sealing loop; Phase3 52.4% before-commit vs 12.9% at; Phase8 F-8.2 149 fabricated adapters, zero flywheel","Execution is the precondition for improvement, not its reward"
LAW03,"Attention follows data availability, not labour intensity",HIGH,21,Phase2 F-2.13 radiology 234 vs nursing 10; Phase4 0/449 platforms mention nursing; Phase6 F-6.3,The biggest gaps are where no digital artifact exists (DL-040)
LAW04,"Liability, not capability, bounds automation in healthcare",HIGH,19,Phase6 F-6.4 all 4 highest-stakes units score bottom on liability alone; Phase7 F-7.5; Phase8 B1,Liability allocation is a design variable (DL-041)
LAW05,"Standards govern exchange between institutions, never operations inside them",HIGH,449,Phase7 F-7.3: 409/449 FHIR-certified yet 0 coverage of OT/bed/roster/charge-capture; ABDM M1-M3 scope,Internal operations are permanently API-poor (DL-046)
LAW06,Consumer subscription is the fallback of companies blocked from institutional revenue,MEDIUM-HIGH,19,Phase2 F-2.7 19/21 discuss reimbursement but bill consumers; Phase5 churn+CAC both GREEN 11 cos; Phase8 R4,"Enter on operational budget, not consumer wallet"
LAW07,"Trust is manufactured by traceability, not by accuracy claims",HIGH,17,Phase2 F-2.11 provenance 55/citation 55/editorial 50 dominate; Phase5 ai_citation_grounding GREEN 17 cos; Phase7 F-7.4,"Provenance is product, not overhead (DL-047)"
LAW08,Every layer above the clinician can approve a purchase; only the clinician creates value,MEDIUM,19,Phase2 F-2.10 CIO 13/CFO 9/committee 8 vs CMIO 1; G01 panel on CMIO requirements,Procurement is necessary and insufficient
LAW09,Workflow continuity is inversely proportional to institutional depth,MEDIUM-HIGH,21,Phase4 F-4.7 patient journey break rate 0.00 at 12.2 owners vs ICU/ED/admin/mgmt 1.00,"Opportunity is measured by break rate, not participant count (DL-029)"
LAW10,The most crowded capability is usually the least defensible,MEDIUM-HIGH,17,Phase7 F-7.1 analytics_dashboard 16 cos = legacy artifact; gamification 12; onboarding 7; conversion 11,Crowding signals a compensating mechanism for a pre-AI limitation
LAW11,Fragmentation of supply raises the value of the interface layer,MEDIUM-HIGH,449,Phase2 253 HMIS vendors India vs ~5 US; Phase2 F-2.9 UI automation claimed by 2/21; Phase8 R3,India structurally favours adapter strategies (DL-018)
LAW12,Government rails create counterparty networks before products exist,HIGH,449,"Phase6 live probe NHCX 38 partners incl 12 insurers + 4 TPAs; ABDM 445 partners, free API",In India the network precedes the product; in the US it must be bought
