entity,entity_type,maps_to_concept
FHIR:Patient,fhir_resource,identity_resolution
FHIR:Encounter,fhir_resource,scheduling_booking
FHIR:Observation,fhir_resource,wearable_biometric_stream
FHIR:ServiceRequest,fhir_resource,ordering_eprescribing
FHIR:Claim,fhir_resource,billing_claims
FHIR:Consent,fhir_resource,consent_management
FHIR:DiagnosticReport,fhir_resource,biomarker_lab_panel
FHIR:MedicationRequest,fhir_resource,ordering_eprescribing
ABDM:ABHA,abdm_entity,identity_resolution
ABDM:HFR,abdm_entity,provider_discovery
ABDM:HPR,abdm_entity,identity_resolution
ABDM:HIE-CM,abdm_entity,consent_management
ABDM:NHCX,abdm_entity,billing_claims
ABDM:HealthLocker,abdm_entity,data_export_portability
DEPT:OperationTheatre,department,scheduling_booking
DEPT:ICU,department,anomaly_alerting
DEPT:Nursing,department,documentation_scribe
DEPT:Radiology,department,imaging_capture
DEPT:Laboratory,department,biomarker_lab_panel
DEPT:Pharmacy,department,inventory_supply
DEPT:Billing,department,billing_claims
DEPT:Emergency,department,clinical_decision_support
MOD:HMIS,software_module,ehr_record_retrieval
MOD:LIS,software_module,biomarker_lab_panel
MOD:RIS-PACS,software_module,imaging_capture
MOD:Pharmacy,software_module,inventory_supply
