Feature,Purpose,User value,Business value,Difficulty,Estimated engineering effort,Priority,Ovexis should,Why
Fixed public navigation,"Expose What we test, FAQs, login, membership CTA","Easy orientation","Conversion","Low","1-2 days","High","Improve","Keep pattern; add India-specific trust and accessibility."
Mobile slide-out menu,"Mobile navigation/account CTAs","Mobile usability","Captures mobile traffic","Medium","3-5 days","High","Improve","Add focus trap, labels, and clean account states."
Dark premium hero/video,"Premium longevity positioning","Aspirational trust","Brand pull","Medium","3-7 days","Medium","Improve","Use local proof and optimize performance."
Hero CTA pair,"Route purchase intent vs research intent","Clear next step","Funnel entry","Low","1 day","High","Copy","Become member + see tests is effective."
HSA/FSA trust chip,"Financial eligibility signal","Reduced purchase anxiety","Conversion","Low","Copy only","Low","Ignore","Not India-native unless actually true."
100+ biomarkers claim,"Communicate breadth","Perceived diagnostic completeness","Justifies price","High clinical","4-8 weeks validation","High","Improve","Back with complete panel and lab accreditation."
1,000+ conditions claim,"Amplify preventive scope","Early detection promise","Demand generation","High clinical/legal","4-8 weeks","Medium","Reinvent","Use risk-screening language with evidence."
How-it-works grid,"Explain test->results->protocol->care","Understand product","Top-funnel conversion","Low","2-4 days","High","Copy","Good mental model."
FAQ accordions,"Handle objections","Self-serve clarity","Support/conversion","Low","2-3 days","High","Improve","Add citations and local operational details."
Membership benefits list,"Bundle value","Understand inclusions","Supports annual payment","Low","2 days","High","Copy","Label launched vs coming soon."
Membership visuals carousel,"Show product screenshots","Visualize output","Perceived maturity","Medium","1 week","Medium","Improve","Use real screenshots and captions."
Pricing card ₹10,800/year,"Convert to annual plan","Transparent cost","Primary revenue","Medium","1-2 weeks","High","Improve","Fix price/tax/refund/payment details."
Cancel anytime/results in week copy,"Reduce purchase risk","Confidence","Checkout conversion","Low","1 day","High","Improve","Add exact cancellation and turnaround terms."
Footer newsletter,"Lead capture","Updates","Nurture","Low","1-3 days","Medium","Improve","Use compliant CRM/ESP instead of no-cors script."
Blog index filters,"SEO/content hub","Education","Organic acquisition","Medium","1-2 weeks","Medium","Improve","Publish evidence-backed medical-review content."
Article TLDR blocks,"Fast summary","Quick understanding","Engagement","Low","1-2 days","Medium","Copy","Add references and reviewer metadata."
Save/share article buttons,"Engagement/social sharing","Revisit/share","Virality","Medium","1 week","Low","Improve","Only if functional."
Biomarker directory,"Show tests by organ system","Transparency","Trust/SEO","Medium","1 week","High","Improve","Make it a flagship evidence library."
Biomarker category chips,"Filter by body system","Find relevant tests","Comprehension","Medium","3-5 days","High","Copy","Good UI with accessibility."
Biomarker tables,"Show names/panel inclusion","Know what is included","Reduce refunds/support","Medium","1 week","High","Improve","Expose full 100+ panel and sample values."
Derived marker labels,"Show calculated metrics","Sophistication","Proprietary analytics signal","Medium","1-2 weeks","Medium","Improve","Publish formulas and limitations."
How-it-works deep page,"Educate high-intent users","Learn full loop","Conversion","Low","3-5 days","High","Copy","Useful for SEO and paid traffic."
Conventional care comparison,"Position against standard physical","Why switch","Differentiation","Low","2-3 days","High","Improve","Avoid strawman claims; cite evidence."
Appointment status card,"Preview lab booking","Sets expectations","Service tangibility","Medium","1 week","High","Improve","Integrate real booking/reschedule/cancel."
Checkout email-first flow,"Account creation before payment","Simple start","Abandoner capture","Medium","1-2 weeks","High","Improve","Use OTP/passwordless and transparent payment."
Checkout order summary,"Reassure price/inclusions","Purchase confidence","Conversion","Low","2-3 days","High","Improve","Avoid discount/total inconsistency."
Login email/password,"Member auth","Account access","Retention access","Medium","1-2 weeks","High","Improve","Add reset, OTP/MFA, correct legal links."
Supabase auth/session nav,"State-aware navigation","Personalized access","Fast MVP","Medium","1 week","High","Copy","Viable if RLS and route protection are strict."
Waitlist wizard,"Capture name/email/phone/age","Simple signup","Lead gen","Medium","3-5 days","Medium","Improve","Add consent and age validation."
Google Apps Script lead capture,"Fast submission backend","None visible","MVP speed","Low","1 day","Low","Ignore","Too brittle for health-adjacent data."
App nav modules,"Home/Data/Protocol/Concierge/Marketplace IA","Product orientation","Feature discovery","Low","2-3 days","High","Copy","Strong information architecture."
3D digital twin,"Visualize body/organ health","Engagement","Differentiation","High","4-8 weeks","Medium","Improve","Make clinically meaningful or keep as demo."
WebGL fallback,"Handle rendering failure","Usability","Support reduction","Medium","1 week","Medium","Copy","Good; hide test buttons in production."
Composite health score,"Single score summary","Simplifies labs","Gamification/retention","High","4-12 weeks validation","High","Reinvent","Needs transparent methodology."
Biological age,"Intuitive aging metric","Motivation","Retention/viral sharing","High","4-12 weeks","High","Improve","Use validated algorithms and uncertainty."
Organ/system grades,"Break down score by system","Prioritization","Gamified engagement","High","6-12 weeks","High","Improve","Tie to biomarkers/evidence."
Organ health grid,"Explore organ/system health","Exploration","Stickiness","Medium","2-4 weeks","Medium","Improve","Add trend and explainability."
Current focus card,"Highlight highest-impact action","Reduces overwhelm","Daily engagement","High","4-8 weeks","High","Copy","Valuable if clinically reviewed."
Plain-English health summary,"Interpret lab results","Actionability","Perceived intelligence","High","4-8 weeks","High","Improve","Generate with evidence citations and review thresholds."
Biomarker summary counts,"Total/optimal/normal/out-of-range","Overview","Dashboard utility","Medium","1-2 weeks","High","Copy","Define optimal vs normal carefully."
Biomarker search,"Find marker quickly","Utility","Lower friction","Low","2-3 days","High","Copy","Table stakes."
Status/category filters,"Prioritize out-of-range/category","Focus","Dashboard utility","Medium","3-5 days","High","Copy","Table stakes."
Biomarker history,"Show trends over time","Progress visibility","Retest retention","Medium","2-4 weeks","High","Improve","Regacore history cells appeared blank; implement real sparklines."
Appointment timeline,"Guide lab draw/check-in","Less confusion","No-show reduction","Medium","2-4 weeks","High","Copy","Operationally valuable."
Prep instruction carousel,"Hydration/fasting reminders","Better preparation","Sample quality","Low","1 week","High","Copy","Add SMS/WhatsApp reminders."
Add-to-calendar,"Calendar integration","Convenience","No-show reduction","Low","3-5 days","Medium","Copy","Straightforward."
Directions link,"Navigate to lab","Convenience","No-show reduction","Low","1 day","Medium","Improve","Tie to actual lab location."
Key insights card,"Summarize priority finding","Actionability","Retention","High","3-6 weeks","High","Improve","Needs safe prioritization."
Rx/medication upsell,"Medication management funnel","Convenience","High-margin upsell","Very high","8-16 weeks legal/clinical","Medium","Reinvent","Requires licensed clinician network."
Referral program,"Member-led acquisition","Reward for sharing","Lower CAC","Medium","2-4 weeks","Medium","Improve","₹50-like reward is weak; use double-sided credits."
Protocol review page,"Present recommended actions","Agency","Activation/commerce","High","4-8 weeks","High","Improve","Add evidence, risks, contraindications, doctor review."
