Feature,Purpose,Evidence,User Value,Business Value,Engineering Complexity,Estimated Build Time,AI Dependency,Clinical Dependency,Strategic Importance,Copy,Improve,Ignore,Reinvent,Priority,Confidence
B2B enterprise product landing page,Explain Human API value and collect demo leads,risk.lexisnexis.com/products/humanapi,Helps buyers understand use cases,Enterprise lead gen,Low,1-2 weeks,No,Low,High,Yes,Yes,No,No,High,High
Life-insurance EHR landing page,Position Health Intelligence for underwriting,risk.lexisnexis.com/products/health-intelligence-ehr,Clarifies underwriting ROI,Carrier pipeline,Low,1-2 weeks,No,Medium,High,Yes,Yes,No,No,High,High
Contact/demo form,Capture enterprise leads,Product pages contact forms,Lets enterprise buyer request demo,Sales qualification,Medium,2-4 weeks,No,Low,High,Yes,Improve,No,No,High,High
Global country selector,Collect geographic sales context,Contact form country list,Local routing,Sales ops,Low,1 week,No,Low,Medium,Yes,Improve,No,No,Medium,High
Industry/subsector fields,Qualify use case,Contact form fields,Less back-and-forth,Lead scoring,Low,1 week,No,Low,Medium,Yes,Improve,No,No,Medium,High
Consumer consent interface,Allow patient/applicant to authorize records,"Human API docs: Connect widget, consumerLink",User controls sharing,Core data acquisition,High,3-6 months,No,High,Critical,Yes,Yes,No,No,P0,High
Human API Connect JS client,Embed consent widget in customer apps,v2.3 web guide; humanapi-connect-client,Fast integration,Developer adoption,Medium,1-2 months,No,High,High,Yes,Improve,No,No,High,High
NPM package,Install Connect in React/web apps,v2.3 web guide npm install humanapi-connect-client,Developer convenience,Integration velocity,Medium,1 month,No,Medium,Medium,Yes,Improve,No,No,Medium,High
CDN script,Load Connect from cdn.humanapi.co,v2.3 web guide CDN snippets,Low setup friction,Adoption,Medium,2-4 weeks,No,Medium,Medium,Yes,Improve,No,No,Medium,High
Lifecycle hooks,Emit connect/disconnect/close events,v2.3 web guide lifecycle hooks,Host app knows session outcome,Integration quality,Medium,2-4 weeks,No,Low,High,Yes,Improve,No,No,High,High
Session token endpoint,Generate Connect session tokens,/v1/connect/token docs,Secure launch of consent flow,Access control,Medium,1-2 months,No,High,High,Yes,Improve,No,No,High,High
Admin client token endpoint,Generate Admin API token,/v1/admin/token docs,Server-to-server auth,API monetization,Medium,1 month,No,High,High,Yes,Improve,No,No,High,High
Create user/order API,Create applicant/user and order evidence,/api/v1/users docs,Starts data retrieval,Core transaction volume,High,2-4 months,No,High,Critical,Yes,Improve,No,No,P0,High
Order type configuration,Bundle retrieval channels/timeouts/outputs,Configuring order types docs,Workflow flexibility,Enterprise customization,High,2-4 months,No,High,Critical,Yes,Improve,No,No,P0,High
Order type API,List configured order types,/api/v1/order-types docs,Customer system knows options,Integration reliability,Medium,1 month,No,Medium,High,Yes,Improve,No,No,High,High
Consumer-mediated retrieval channel,Portal/patient-mediated EHR access,Order types and product page,Patient-controlled data access,Higher hit rate,Very High,6-18 months,No,High,Critical,Yes,Improve,No,No,P0,High
Digital HIPAA authorization channel,HIPAA-authorized EHR/HIE retrieval,Order types docs,No consumer portal dependency,Carrier automation,Very High,6-18 months,No,High,Critical,Yes,Improve,No,No,P0,High
Traditional HIPAA/APS channel,Retrieve APS when EHR unavailable,Order types/docs,Fallback evidence,Completion revenue,High,6-12 months,Maybe,High,Critical,Yes,Improve,No,No,P0,High
Smart evidence orchestration,Select retrieval path based on data/constraints,Official acquisition/product pages,Less friction,Cost/hit-rate optimization,Very High,9-18 months,Maybe,High,Critical,Yes,Reinvent,No,Yes,P0,High
APS delay logic,Delay APS to allow digital channels first,Order type docs recommend 7 days,Lower unnecessary APS friction,Cost savings,Medium,1-2 months,No,Medium,High,Yes,Improve,No,No,High,High
Order sufficiency logic,Keep searching until required data found,Order type docs,Data completeness,Better underwriting decisions,High,3-6 months,Maybe,High,Critical,Yes,Reinvent,No,Yes,High,High
