Page name,URL,Final URL,Viewport,Screenshot,Title,Visible components summary,Hosts observed,Observed/inferred,Confidence
humanapi_redirect,https://www.humanapi.co/,https://risk.lexisnexis.com/products/health-intelligence-ehr,1440x1000,screenshots/humanapi_redirect_desktop.jpg,Health Intelligence EHR Solutions,"US - English |  | Product Sign In |  | Choose Your Industry | toggle menu | Products | Insights and Resources | About Us | toggle menu | Contact | Home  Our Products  Health Intelligence EHR | LexisNexis® Health Intelligence | Fast-track underwriting decisions with the EHR for life insurance platform built for adoption at scale | Contact Us | Make faster, more informed underwriting decisions—at scale | Electronic health records ",", adobedc.demdex.net, arclight.vimeo.com, assets.adobedtm.com, bat.bing.com, cdn.cookielaw.org, cdnjs.cloudflare.com, dev.visualwebsiteoptimizer.com, f.vimeocdn.com, fonts.googleapis.com, fonts.gstatic.com, geolocation.onetrust.com, googleads.g.doubleclick.net, humanapi.co, i.vimeocdn.com, img.en25.com, pagead2.googlesyndication.com, player.vimeo.com, px.ads.linkedin.com, r2.visualwebsiteoptimizer.com, risk.lexisnexis.com, s.ytimg.com, snap.licdn.com, tracking.risk.lexisnexis.com, vimeo.com, www.google.com, www.googleadservices.com, www.googletagmanager.com, www.gstatic.com, www.humanapi.co, www.linkedin.com",Observed,High
lexis_humanapi,https://risk.lexisnexis.com/products/humanapi,https://risk.lexisnexis.com/products/humanapi,1440x1000,screenshots/lexis_humanapi_desktop.jpg,Human API™,US - English |  | Product Sign In |  | Choose Your Industry | toggle menu | Products | Insights and Resources | About Us | toggle menu | Contact | Healthcare | Markets We Serve | Toggle | Capabilities & Solutions | Toggle | Healthcare Insights | Toggle | Contact Us | LexisNexis® Human API™ | Connecting Health Data to Advance Clinical Research and Healthcare | Home  Our Products  Human API™ | Simplify the Complexities of Health Data |  | Persona,", analytics.lexisnexisrisk.com, app.qualified.com, assets.adobedtm.com, audience.nrich.ai, b.6sc.co, bat.bing.com, c.6sc.co, cdn.cookielaw.org, cdnjs.cloudflare.com, connect.facebook.net, dev.visualwebsiteoptimizer.com, fonts.googleapis.com, fonts.gstatic.com, geolocation.onetrust.com, googleads.g.doubleclick.net, id.rlcdn.com, img.en25.com, ipv6.6sc.co, j.6sc.co, j.nrich.ai, js.qualified.com, js.zi-scripts.com, px.ads.linkedin.com, r2.visualwebsiteoptimizer.com, risk.lexisnexis.com, s.ytimg.com, secure.adnxs.com, snap.licdn.com, tag.nrich.ai, tracking.risk.lexisnexis.com, ws-assets.zoominfo.com, ws.zoominfo.com, www.google.com, www.googleadservices.com, www.googletagmanager.com, www.gstatic.com",Observed,High
health_intelligence_ehr,https://risk.lexisnexis.com/products/health-intelligence-ehr,https://risk.lexisnexis.com/products/health-intelligence-ehr,1440x1000,screenshots/health_intelligence_ehr_desktop.jpg,Health Intelligence EHR Solutions,"US - English |  | Product Sign In |  | Choose Your Industry | toggle menu | Products | Insights and Resources | About Us | toggle menu | Contact | Home  Our Products  Health Intelligence EHR | LexisNexis® Health Intelligence | Fast-track underwriting decisions with the EHR for life insurance platform built for adoption at scale | Contact Us | Make faster, more informed underwriting decisions—at scale | Electronic health records ",", analytics.lexisnexisrisk.com, arclight.vimeo.com, assets.adobedtm.com, audience.nrich.ai, b.6sc.co, bat.bing.com, cdn.cookielaw.org, cdnjs.cloudflare.com, connect.facebook.net, dev.visualwebsiteoptimizer.com, f.vimeocdn.com, fonts.googleapis.com, fonts.gstatic.com, googleads.g.doubleclick.net, i.vimeocdn.com, id.rlcdn.com, img.en25.com, ipv6.6sc.co, j.6sc.co, j.nrich.ai, js.zi-scripts.com, player.vimeo.com, px.ads.linkedin.com, r2.visualwebsiteoptimizer.com, risk.lexisnexis.com, s.ytimg.com, secure.adnxs.com, snap.licdn.com, tag.nrich.ai, tracking.risk.lexisnexis.com, ws-assets.zoominfo.com, ws.zoominfo.com, www.google.com, www.googleadservices.com, www.googletagmanager.com, www.gstatic.com",Observed,High
acquisition_press,https://risk.lexisnexis.com/about-us/press-room/press-release/20230425-humanapi-acquisition,https://risk.lexisnexis.com/about-us/press-room/press-release/20230425-humanapi-acquisition,1440x1000,screenshots/acquisition_press_desktop.jpg,LexisNexis Risk Solutions Acquires Human API,"US - English |  | Product Sign In |  | Choose Your Industry | toggle menu | Products | Insights and Resources | About Us | toggle menu | Contact | Press Room | Home  About Us  News Room  Press Releases | LexisNexis Risk Solutions Acquires Human API | Share |  | 04/25/2023 |  | ATLANTA — LexisNexis® Risk Solutions, part of RELX, today announced it has acquired Human API, a leading provider of a proprietary consumer-driven data platfo",", analytics.lexisnexisrisk.com, assets.adobedtm.com, audience.nrich.ai, b.6sc.co, bat.bing.com, cdn.cookielaw.org, cdnjs.cloudflare.com, connect.facebook.net, dev.visualwebsiteoptimizer.com, fonts.googleapis.com, fonts.gstatic.com, googleads.g.doubleclick.net, id.rlcdn.com, img.en25.com, ipv6.6sc.co, j.6sc.co, j.nrich.ai, js.zi-scripts.com, px.ads.linkedin.com, r2.visualwebsiteoptimizer.com, risk.lexisnexis.com, s.ytimg.com, secure.adnxs.com, snap.licdn.com, tag.nrich.ai, tracking.risk.lexisnexis.com, ws-assets.zoominfo.com, ws.zoominfo.com, www.google.com, www.googletagmanager.com",Observed,High
health_intelligence_2025,https://risk.lexisnexis.com/about-us/press-room/press-release/20250220-health-intelligence,https://risk.lexisnexis.com/about-us/press-room/press-release/20250220-health-intelligence,1440x1000,screenshots/health_intelligence_2025_desktop.jpg,LexisNexis Health Intelligence Paves a Path of Innovation to Help U.S. Life Insurers Improve the Underwriting Process,US - English |  | Product Sign In |  | Choose Your Industry | toggle menu | Products | Insights and Resources | About Us | toggle menu | Contact | Press Room | Home  About Us  News Room  Press Releases | LexisNexis Health Intelligence Paves a Path of Innovation to Help U.S. Life Insurers Improve the Underwriting Process | Digital Health Data Insights are Needed at Scale for Life Insurers to Continue to Reach Underserved Mark,", analytics.lexisnexisrisk.com, assets.adobedtm.com, audience.nrich.ai, b.6sc.co, bat.bing.com, cdn.cookielaw.org, cdnjs.cloudflare.com, connect.facebook.net, dev.visualwebsiteoptimizer.com, fonts.googleapis.com, fonts.gstatic.com, googleads.g.doubleclick.net, id.rlcdn.com, img.en25.com, ipv6.6sc.co, j.6sc.co, j.nrich.ai, js.zi-scripts.com, px.ads.linkedin.com, r2.visualwebsiteoptimizer.com, risk.lexisnexis.com, s.ytimg.com, secure.adnxs.com, snap.licdn.com, tag.nrich.ai, tracking.risk.lexisnexis.com, ws-assets.zoominfo.com, ws.zoominfo.com, www.google.com, www.googletagmanager.com, www.gstatic.com",Observed,High
docs_getting_started,https://reference.humanapi.co/reference,https://reference.humanapi.co/reference/getting-started,1440x1000,screenshots/docs_getting_started_desktop.jpg,Getting Started,Jump to Content | Guides | API Reference | Portal | Support and Knowledge base | Integration Status | HIP | API Reference | Search | CTRL-K | JUMP TO | CTRL-/ | INTRODUCTION | Getting Started | Authentication | ADMIN API | orders | /api/v1/order-types | GET | users | /api/v1/users | GET | /api/v1/users | POST | /api/v1/users/actions | POST | /api/v1/users/{humanId} | GET | /api/v1/users/providers | GET | subscriptions | /api/v1/subscriptions | GET | /api/v1/subs,"cdn.readme.io, files.readme.io, reference.humanapi.co, www.google-analytics.com, www.googletagmanager.com",Observed,High
docs_overview,https://reference.humanapi.co/docs/overview,https://reference.humanapi.co/docs/overview,1440x1000,screenshots/docs_overview_desktop.jpg,Health Intelligence Platform,"Jump to Content | Guides | API Reference | Portal | Support and Knowledge base | Integration Status | HIP | Guides | Health Intelligence Platform | Search | CTRL-K | HUMAN API OVERVIEW | Health Intelligence Platform | Security | GETTING STARTED | Integration Overview | Configuring ""Order Types"" | Integration Best Practices | Brand Guidelines | API | Overview | Authentication | Issue an authenticated call | API Reference | ORDERS | Submitting Orde",", brunhild.challenges.cloudflare.com, cdn.readme.io, challenges.cloudflare.com, files.readme.io, player.vimeo.com, reference.humanapi.co, www.google-analytics.com, www.googletagmanager.com",Observed,High
docs_order_types,https://reference.humanapi.co/docs/configuring-order-types,https://reference.humanapi.co/docs/configuring-order-types,1440x1000,screenshots/docs_order_types_desktop.jpg,"Configuring ""Order Types""","Jump to Content | Guides | API Reference | Portal | Support and Knowledge base | Integration Status | HIP | Guides | Configuring ""Order Types"" | Search | CTRL-K | HUMAN API OVERVIEW | Health Intelligence Platform | Security | GETTING STARTED | Integration Overview | Configuring ""Order Types"" | Integration Best Practices | Brand Guidelines | API | Overview | Authentication | Issue an authenticated call | API Reference | ORDERS | Submitting Orders | ","cdn.readme.io, files.readme.io, images.squarespace-cdn.com, reference.humanapi.co, www.google-analytics.com, www.googletagmanager.com",Observed,High
docs_submitting_orders,https://reference.humanapi.co/docs/submitting-orders,https://reference.humanapi.co/docs/submitting-orders,1440x1000,screenshots/docs_submitting_orders_desktop.jpg,Submitting Orders,"Jump to Content | Guides | API Reference | Portal | Support and Knowledge base | Integration Status | HIP | Guides | Submitting Orders | Search | CTRL-K | HUMAN API OVERVIEW | Health Intelligence Platform | Security | GETTING STARTED | Integration Overview | Configuring ""Order Types"" | Integration Best Practices | Brand Guidelines | API | Overview | Authentication | Issue an authenticated call | API Reference | ORDERS | Submitting Orders | Cancelli","cdn.readme.io, files.readme.io, reference.humanapi.co, www.google-analytics.com, www.googletagmanager.com",Observed,High
docs_lifecycle,https://reference.humanapi.co/docs/order-fulfillment-lifecycle,https://reference.humanapi.co/docs/order-fulfillment-lifecycle,1440x1000,screenshots/docs_lifecycle_desktop.jpg,Order Fulfillment Lifecycle,"Jump to Content | Guides | API Reference | Portal | Support and Knowledge base | Integration Status | HIP | Guides | Order Fulfillment Lifecycle | Search | CTRL-K | HUMAN API OVERVIEW | Health Intelligence Platform | Security | GETTING STARTED | Integration Overview | Configuring ""Order Types"" | Integration Best Practices | Brand Guidelines | API | Overview | Authentication | Issue an authenticated call | API Reference | ORDERS | Submitting Order","cdn.readme.io, files.readme.io, reference.humanapi.co, www.google-analytics.com, www.googletagmanager.com",Observed,High
docs_reports,https://reference.humanapi.co/docs/reports,https://reference.humanapi.co/docs/reports,1440x1000,screenshots/docs_reports_desktop.jpg,Report Types,"Jump to Content | Guides | API Reference | Portal | Support and Knowledge base | Integration Status | HIP | Guides | Report Types | Search | CTRL-K | HUMAN API OVERVIEW | Health Intelligence Platform | Security | GETTING STARTED | Integration Overview | Configuring ""Order Types"" | Integration Best Practices | Brand Guidelines | API | Overview | Authentication | Issue an authenticated call | API Reference | ORDERS | Submitting Orders | Cancelling Or","cdn.readme.io, files.readme.io, reference.humanapi.co, www.google-analytics.com, www.googletagmanager.com",Observed,High
docs_epic,https://reference.humanapi.co/page/epic-documentation,https://reference.humanapi.co/page/epic-documentation,1440x1000,screenshots/docs_epic_desktop.jpg,Epic Community Member Documentation,Jump to Content | Guides | API Reference | Portal | Support and Knowledge base | Integration Status | HIP | Search | CTRL-K | Epic Community Member Documentation | What is Human API? |  | Human API is the first patient-centric platform to allow users to transfer their medical data from anywhere to anywhere. Our goal is to power a wide range of healthcare applications to help patients on their healthcare journey by allowi,"cdn.readme.io, files.readme.io, reference.humanapi.co, www.google-analytics.com, www.googletagmanager.com",Observed,High
lexis_humanapi,https://risk.lexisnexis.com/products/humanapi,https://risk.lexisnexis.com/products/humanapi,390x844,screenshots/lexis_humanapi_mobile.jpg,Human API™,Toggle navigation |  | US - English |  | Product Sign In |  | Choose Your Industry | toggle menu | Products | Insights and Resources | About Us | toggle menu | Contact | Healthcare | Toggle | LexisNexis® Human API™ | Connecting Health Data to Advance Clinical Research and Healthcare | Home  Our Products  Human API™ | Simplify the Complexities of Health Data |  | Personalized medicine and care require a whole person view and next-generat,", adobedc.demdex.net, assets.adobedtm.com, cdn.cookielaw.org, cdnjs.cloudflare.com, dev.visualwebsiteoptimizer.com, fonts.googleapis.com, fonts.gstatic.com, geolocation.onetrust.com, img.en25.com, r3.visualwebsiteoptimizer.com, risk.lexisnexis.com, s.ytimg.com, tracking.risk.lexisnexis.com, www.google.com, www.gstatic.com",Observed,High
health_intelligence_ehr,https://risk.lexisnexis.com/products/health-intelligence-ehr,https://risk.lexisnexis.com/products/health-intelligence-ehr,390x844,screenshots/health_intelligence_ehr_mobile.jpg,Health Intelligence EHR Solutions,"Toggle navigation |  | US - English |  | Product Sign In |  | Choose Your Industry | toggle menu | Products | Insights and Resources | About Us | toggle menu | Contact | Home  Our Products  Health Intelligence EHR | LexisNexis® Health Intelligence | Fast-track underwriting decisions with the EHR for life insurance platform built for adoption at scale | Contact Us | Make faster, more informed underwriting decisions—at scale | Electro",", analytics.lexisnexisrisk.com, arclight.vimeo.com, assets.adobedtm.com, audience.nrich.ai, b.6sc.co, bat.bing.com, c.6sc.co, cdn.cookielaw.org, cdnjs.cloudflare.com, connect.facebook.net, dev.visualwebsiteoptimizer.com, f.vimeocdn.com, fonts.googleapis.com, fonts.gstatic.com, geolocation.onetrust.com, googleads.g.doubleclick.net, i.vimeocdn.com, id.rlcdn.com, img.en25.com, ipv6.6sc.co, j.6sc.co, j.nrich.ai, js.zi-scripts.com, player.vimeo.com, px.ads.linkedin.com, r3.visualwebsiteoptimizer.com, risk.lexisnexis.com, s.ytimg.com, secure.adnxs.com, snap.licdn.com, tag.nrich.ai, tracking.risk.lexisnexis.com, vimeo.com, ws-assets.zoominfo.com, ws.zoominfo.com, www.google.com, www.googleadservices.com, www.googletagmanager.com, www.gstatic.com, www.linkedin.com",Observed,High
docs_getting_started,https://reference.humanapi.co/reference,https://reference.humanapi.co/reference/getting-started,390x844,screenshots/docs_getting_started_mobile.jpg,Getting Started,Jump to Content | API Reference | Getting Started | JUMP TO | INTRODUCTION | Getting Started | Authentication | ADMIN API | orders | /api/v1/order-types | GET | users | /api/v1/users | GET | /api/v1/users | POST | /api/v1/users/actions | POST | /api/v1/users/{humanId} | GET | /api/v1/users/providers | GET | subscriptions | /api/v1/subscriptions | GET | /api/v1/subscriptions | POST | /api/v1/subscriptions/{subscriptionId} | GET | /api/v1/subscriptions/{su,"cdn.readme.io, files.readme.io, reference.humanapi.co, www.google-analytics.com, www.googletagmanager.com",Observed,High
