concept,gap_position,n_rows,n_companies,geos,user_value,business_value,eng_cx,clin_cx,infra_cx,reg_cx,strategic_importance,future_importance,jarvis_status,jarvis_loc,dependencies,companies
protocol_commitment,AT_COMMIT,24,6,DE|IN|US,4.8,4.4,3,3.5,2.9,3.2,9.6,10,absent,0,personalised_recommendation|task_workflow_engine,D02|D03|D08|D11|D13|D16
scheduling_booking,AT_COMMIT,20,6,IN|US,3.9,4.1,2.9,2.8,2.7,3.3,8.4,9.1,absent,0,identity_resolution|task_workflow_engine,D02|D03|D09|D10|D11|D17
inventory_supply,AT_COMMIT,6,4,IN|US,3,4.4,3,2,3,3.8,8.4,9.1,absent,0,,D06|D09|D11|D15
documentation_scribe,AT_COMMIT,19,6,NL|US,3.9,4,3.4,3.8,3.8,3.8,8.3,10,partial_exists,362,ehr_record_retrieval|data_normalisation|clinician_review_loop,D01|D06|D07|D12|D15|D18
ui_automation_execution,AT_COMMIT,17,7,NL|US,4,3.7,3.4,3,3.3,2.7,7.8,10,partial_exists,1747,task_workflow_engine|safety_guardrails|explainability_provenance,D02|D03|D06|D07|D13|D16|D18
billing_claims,AT_COMMIT,21,8,IN|US,3.6,4.2,2.9,2.8,2.5,3,7.7,8.3,absent,0,data_normalisation|ehr_record_retrieval|compliance_certification,D02|D03|D05|D06|D07|D10|D11|D16
referral_care_coordination,AT_COMMIT,12,7,IN|US,3.8,3.3,3.1,2.7,3,3,7.1,7.7,absent,0,identity_resolution|consent_management|task_workflow_engine,D02|D03|D06|D09|D11|D15|D19
ordering_eprescribing,AT_COMMIT,20,9,IN|NL|US,3.2,3.7,3.6,3.4,2.8,3.7,6.6,7.1,absent,0,ehr_record_retrieval|identity_resolution|safety_guardrails|clinical_decision_support,D02|D03|D05|D09|D10|D11|D16|D17|D18
teleconsultation,human_fallback,2,2,IN|US,4,4,,,,4,6.6,7.1,absent,0,,D03|D17
coaching_service,human_fallback,41,7,IN|US,4,4.5,3.2,2.5,2.9,2.6,6.1,6.6,absent,0,,D02|D03|D05|D11|D13|D16|D17
clinician_review_loop,human_fallback,10,5,IN|US,4,4,3.2,3.6,2,3.6,6.0,6.5,absent,0,,D02|D05|D06|D15|D17
care_team_collaboration,human_fallback,9,6,DE|IN|US,3.7,3.6,3.2,3.4,3.2,3.2,5.3,5.7,absent,0,,D03|D06|D08|D12|D15|D19
task_workflow_engine,AT_COMMIT,53,15,DE|IN|NL|US,3.2,3.6,3.2,3.1,3,3.1,5.1,6.9,partial_exists,1767,safety_guardrails|longitudinal_timeline,D01|D03|D05|D06|D07|D08|D10|D11|D12|D13|D15|D16|D17|D18|D19
anomaly_alerting,before_commit,4,2,IN|US,5,4,3.5,4,3.5,4,4.7,5.1,absent,0,,D03|D19
personalised_recommendation,before_commit,16,5,DE|US,5,4.3,3.7,2.7,2.4,2.6,4.5,4.9,absent,0,longitudinal_timeline|clinical_decision_support,D02|D03|D05|D08|D16
genomic,before_commit,3,3,IN|US,4.5,4,4.3,4.3,4.5,4,4.3,4.6,absent,0,,D10|D13|D17
identity_resolution,before_commit,10,3,IN|US,3.8,4,3.9,2,3.5,3.5,4.0,4.3,absent,0,,D01|D10|D17
evidence_generation,before_commit,11,6,DE|IN|NL|US,3,5,3.2,3.5,3.1,3.2,3.9,4.2,absent,0,data_normalisation|population_health|consent_management,D05|D08|D11|D15|D18|D19
device_sdk_ingest,before_commit,17,6,IN|US,3.8,4.2,3.4,2.4,3.1,2.9,3.8,4.1,absent,0,,D03|D05|D12|D13|D16|D19
composite_health_score,before_commit,14,5,IN|US,4,3.8,3.6,2.8,2.6,2.6,3.8,4.1,absent,0,longitudinal_timeline|data_normalisation|explainability_provenance,D02|D03|D05|D10|D11
agent_tool_transparency,before_commit,1,1,US,4,,,,,,3.7,5.0,partial_exists,508,,D03
