Feature,Purpose,Evidence,User Value,Business Value,Engineering Complexity,Clinical Complexity,Infrastructure Complexity,Regulatory Complexity,Estimated Team,Estimated Months,Priority,Category,Copy,Improve,Ignore,Reinvent,Moat,Confidence
"Search-first global search w/ autocomplete","90-second clinical answer retrieval","Product pages; app listing; usage stats (1.6M topic views/day)","Very High","Very High","Medium","Low","Medium","Low","3-4 eng","2-3","P0","Core Reference","Yes","Personalised ranking","","","None","Confirmed"
"Question-first topic pages (13k+)","Answer clinical questions vs disease chapters","Editorial policy; 25th-anniv release","Very High","Very High","High","Very High","Medium","Low","Editorial org (100s)","Ongoing","P0","Content","Yes (structure)","Living patient-linked topics","","","Editorial moat","Confirmed"
"Summary & Recommendations block","Answer-first decisions","Editorial policy","Very High","High","Low","Medium","Low","Low","1-2","1","P0","Content UX","Yes","","","","None","Confirmed"
"GRADE badges (1A-2C)","Visible evidence strength per recommendation","WK FAQ (unique claim); editorial policy","Very High","Very High","Medium","Very High","Medium","Medium","6-10 + experts","6-12","P0","Evidence","Yes","Personal-fit grading","","","Trust moat","Confirmed"
"Inline citations + references","Auditability","Editorial policy","High","High","Low","Low","Low","Low","1-2","1","P0","Evidence","Yes","","","","None","Confirmed"
"Named authorship + disclosures","Accountability/prestige loop","Editorial policy","High","Very High","Low","Medium","Low","Medium","Ops team","Ongoing","P1","Trust","Yes","","","","Brand moat","Confirmed"
"Continuous publishing","Freshness covenant","Editorial policy","Very High","Very High","Medium","Very High","High","Low","Editorial org","Ongoing","P0","Content Ops","Yes","","","","Editorial moat","Confirmed"
"What's New + Practice Changing UpDates","Practice-change radar","Editorial policy; app listing","High","High","Low","High","Low","Low","Editorial","Ongoing","P1","Engagement","Yes","Patient-specific deltas","","","Weak network effect","Confirmed"
"Key Points panels","Zero-click answers","App listing 2026","High","Medium","Medium","High","Medium","Low","Editorial + eng","Ongoing","P1","Content UX","Yes","Patient-personalised key points","","","Weak","Confirmed"
"200+ calculators","Dosing/risk scoring in-line","App listing","High","Medium","Medium","Very High","Medium","Medium","4-6","4-8","P1","Decision Tools","Yes","Auto-populated from records","","","Switching cost","Confirmed"
"Drug monographs (Lexidrug)","Comprehensive drug info app+corpus","App stores; Nov-2025 release","Very High","High","Medium","Very High","High","Medium","Portfolio team","Ongoing","P0","Drug Layer","Yes","Longitudinal burden analysis","","","Data moat","Confirmed"
"Interaction analysis tool","Multi-drug interaction checking","App listing","High","High","Medium","High","Medium","Medium","3-5","3-6","P1","Drug Layer","Yes","Polypharmacy trajectory","","","Weak","Confirmed"
"Rx Transitions","Antidepressant switching steps","App listing","Medium","Low","Medium","High","Medium","Medium","2-3","2-4","P2","Drug Layer","Yes","","","","Weak","Confirmed"
"Kidney dosing guidance","Renal dosing rules","App listing","High","Medium","Medium","High","Medium","Medium","2-4","2-4","P1","Drug Layer","Yes","Auto renal function from labs","","","Weak","Confirmed"
"Patient education (Basics/Beyond, 19 langs)","Plain-language handouts","App listing; product pages","High","High","Medium","High","Medium","Low","Editorial + localisation","Ongoing","P1","Patient Surface","Yes","Record-aware explanations","","","Weak","Confirmed"
