Feature,Purpose,Evidence,User Value,Business Value,Engineering Complexity,Clinical Complexity,Infrastructure Complexity,Regulatory Complexity,Estimated Team (Engineers),Estimated Months,Priority,Category,Copy,Improve,Ignore,Reinvent,Moat,Confidence
Medicine Ordering,Core commerce transaction,🟢 Directly observed,High - solves access problem,High - primary revenue driver,Medium,Low,Medium,High,15-20,6-12,1 - Critical,Copy,Yes,No,No,No,Distribution - Strong,🟢 Confirmed
Prescription Upload,Regulatory requirement for Rx medicines,🟢 Directly observed,Medium - friction point,High - enables Rx sales,Medium,Low,Low,High,3-5,3,Copy with AI,Yes,Yes,No,No,Regulatory - Weak,🟢 Confirmed
Drug Information Database,SEO traffic & user education,🟢 Directly observed,High - helps decision making,High - SEO moat & acquisition,Medium,Medium,Medium,Low,5-10,12-18,Copy,Yes,No,No,No,SEO - Strong,🟢 Confirmed
AI Symptom Checker,"Triage patients to right specialty",🟢 Confirmed - StartupTalky,High - reduces friction,Medium - conversion tool,High,High,Medium,Medium,8-12,6-9,Improve,Yes,Yes,No,Yes,AI - Weak,🟢 Confirmed
Doctor Consultation,Telemedicine service,🟢 Directly observed,High - access to care,Medium - service revenue,High,High,Medium,High,10-15,12-18,Improve,Yes,Yes,No,Yes,Marketplace - Medium,🟢 Confirmed
Lab Test Booking,Diagnostics marketplace,🟢 Directly observed,High - convenience,High - high margin revenue,Medium,Medium,Low,High,5-8,6,Improve,Yes,Yes,No,No,Distribution - Strong,🟢 Confirmed
Home Sample Collection,Last-mile diagnostics delivery,🟢 Directly observed,High - eliminates travel,High - key differentiator,High,Medium,High,High,8-12,9-12,Improve,Yes,Yes,No,No,Operational - Medium,🟢 Confirmed
Care Plan Subscription,Paid membership program,🟢 Directly observed,Medium - saves money long term,High - recurring revenue lock-in,Medium,Low,Low,Medium,4-6,6,Copy,Yes,No,No,Yes,Switching Cost - Medium,🟢 Confirmed
Health Insights Hub,"Unified health records dashboard",🟢 Confirmed - Inc42,High - data consolidation,High - data moat building,High,Medium,High,High,10-15,12-18,Reinvent,No,Yes,No,Yes,Data - Building,🟡 Strong Inference
Family Hub,"Multi-member health management",🟢 Confirmed - CEO interviews,High - family health management,High - expands TAM via network effects,Medium,Low,Medium,Medium,5-8,6-9,Reinvent,No,Yes,No,Yes,Network Effects - Building,🟡 Strong Inference
Pulse B2B Platform,Pharma company insights,🟢 Confirmed - ET Retail,Low - B2B,High - diversifies revenue,High,High,High,High,15-20,18-24,Reinvent,No,Yes,No,Yes,Data - Building,🟢 Confirmed
Express Delivery (30-60 min),Quick commerce medicines,🟢 Confirmed - ET Retail,High - urgent needs,Medium - competitive necessity,High,Low,Very High,High,20-30,12-18,Conditional,Yes,No,Yes,No,Distribution - Building,🟢 Confirmed
Offline Stores (280+),Physical retail presence,🟢 Confirmed - multiple,High - omnichannel access,Medium - capital intensive,Very High,Low,Very High,Very High,30-50,Ongoing,Ignore in early stages,No,No,Yes,No,Infrastructure - Building,🟢 Confirmed
Order Tracking,Delivery visibility,🟢 Directly observed,Medium - reduces anxiety,Medium - reduces support load,Medium,Low,Medium,Low,3-5,3-6,Improve,Yes,Yes,No,No,Operational - Weak,🟢 Confirmed
Medicine Substitute AI,Cost-saving alternative suggestions,🟢 Directly observed,High - saves money,Medium - increases conversion,High,Medium,Low,Medium,4-6,6,Improve,Yes,Yes,No,Yes,AI - Weak,🟡 Strong Inference
Care Plan Auto-Renewal,Subscription retention,🟢 Inferred from subscription model,Low - automatic,High - reduces churn,Low,Low,Low,Low,2-3,1-3,Copy,Yes,No,No,No,Revenue - Medium,🟡 Strong Inference
Medication Reminders,Adherence improvement,🟡 Strong Inference,High - health outcomes,Medium - engagement,Low,Low,Low,Low,2-3,3,Copy,Yes,Yes,No,No,Engagement - Weak,🟡 Strong Inference
Gen AI Health Assistant,AI agent for health queries,🟢 Confirmed - Job posting,High - 24/7 support,Medium - differentiation,Very High,High,High,High,10-15,12-18,Reinvent,No,Yes,No,Yes,AI - Building,🟢 Confirmed
