Filename,Primary company/entity or subject,Category,Approximate length,Completion status,Confidence entire document scanned
Bubble_Lab_Digest.html,Bubble Lab,Company/product digest,199 words (27.3 KB),Complete file accessible; full-text/structure scanned,High (100% file bytes parsed; rapid systematic text/structure scan)
Bubble_Lab_Jan_Digest_We_are_in_YC.html,Bubble Lab,Company/product digest,212 words (8.4 KB),Complete file accessible; full-text/structure scanned,High (100% file bytes parsed; rapid systematic text/structure scan)
Daily_Healthcare_Market_Intelligence_Report_-_India_-_2026-03-01.md,India healthcare market; multiple companies/topics (no single company case study),Daily healthcare market intelligence,"1,116 words (8.5 KB)",Complete file accessible; full-text/structure scanned,High (100% file bytes parsed; rapid systematic text/structure scan)
Daily_Indian_Healthcare_Startup_Opportunity_Report.md,1. Executive Summary,Daily startup-opportunity brief,"1,019 words (7.8 KB)",Complete file accessible; full-text/structure scanned,High (100% file bytes parsed; rapid systematic text/structure scan)
Fwd_Daily_Indian_Healthcare_Startup_Opportunity_Report.md,**1. Executive Summary**,Daily startup-opportunity brief,"1,042 words (7.8 KB)",Complete file accessible; full-text/structure scanned,High (100% file bytes parsed; rapid systematic text/structure scan)
Fwd_ELITE_Healthcare_Intelligence_Report_17_Roles_146_Data_Points_Analyzed.html,17 hospital workforce roles and patient/system layer (no single company case study),Healthcare workforce/system intelligence,"3,974 words (48.8 KB)",Complete file accessible; full-text/structure scanned,High (100% file bytes parsed; rapid systematic text/structure scan)
Healthcare_Founder_Blueprints_2026-03-18_3_Ideas_Score_88_85_91.html,1) ClearClaim AI; 2) Prava AI; 3) Lumina Triage,Founder blueprint (three proposed AI-first ventures),"3,368 words (47.9 KB)",Complete file accessible; full-text/structure scanned,High (100% file bytes parsed; rapid systematic text/structure scan)
Healthcare_Founder_Blueprints_2026-03-19_3_Ideas_Score_88_85_82.html,1) ClaimGuard AI: Automated Medical Debt Restructuring & Billing Auditor; 2) TriageEdge: Offline-First AI Clinical Co-Pilot for Understaffed PHCs; 3) SupplyNode AI: Predictive Procurement Network for Essential Medicines,Founder blueprint (three proposed AI-first ventures),"3,860 words (51.6 KB)",Complete file accessible; full-text/structure scanned,High (100% file bytes parsed; rapid systematic text/structure scan)
Healthcare_Founder_Blueprints_2026-03-27_3_Ideas_Score_88_85_82.html,1) ClaimArmor AI; 2) FlowState Health; 3) OmniContext AI,Founder blueprint (three proposed AI-first ventures),"3,776 words (50.4 KB)",Complete file accessible; full-text/structure scanned,High (100% file bytes parsed; rapid systematic text/structure scan)
Healthcare_Founder_Blueprints_2026-03-28_3_Ideas_Score_88_85_82.html,1) Aegis RCM: Autonomous AI Appeals Engine; 2) Sentinel Triage: Continuous ED Monitoring; 3) ClearClaim: AI-Driven Bill Unbundling & Advocacy,Founder blueprint (three proposed AI-first ventures),"3,620 words (49.2 KB)",Complete file accessible; full-text/structure scanned,High (100% file bytes parsed; rapid systematic text/structure scan)
Healthcare_Founder_Blueprints_2026-03-29_3_Ideas_Score_88_85_91.html,1) ClearAuth AI; 2) FlowTriage AI; 3) ShieldScribe AI,Founder blueprint (three proposed AI-first ventures),"3,516 words (49.1 KB)",Complete file accessible; full-text/structure scanned,High (100% file bytes parsed; rapid systematic text/structure scan)
Healthcare_Founder_Blueprints_2026-03-30_3_Ideas_Score_92_84_81.html,1) ClaimAI: Automated Patient Advocacy & Denial Appeals; 2) TriageFlow: Predictive ER Routing & Capacity Optimization; 3) VanguardRx: AI Copilot & Verification for Informal Pharmacies,Founder blueprint (three proposed AI-first ventures),"3,976 words (52.3 KB)",Complete file accessible; full-text/structure scanned,High (100% file bytes parsed; rapid systematic text/structure scan)
