claim_id,claim,section,tier,confidence,source_ids,source_type,accessed,shipping_rung,contested,falsifier,notes
MEM0-C-001,"Stated goal is to become the default memory layer for AI agents",1,E1,HIGH,S-001,press,2026-07-26,n/a,no,,"Founder quote in company press release"
MEM0-C-002,"Actual category is LLM-mediated fact extraction plus hybrid retrieval",1,E3,MEDIUM,S-002;S-003,inference,2026-07-26,n/a,no,,"Derived from documented add/search mechanics rather than self-description"
MEM0-C-003,"Enterprise governance absent across this framework category - no glossary, lineage, entity resolution",1,E2,MEDIUM,S-004,press,2026-07-26,n/a,no,,"Stated as true of all 8 frameworks surveyed, not Mem0 alone"
MEM0-C-004,"Positions memory as a portable memory passport across apps and models",1,E1,HIGH,S-005,press,2026-07-26,n/a,no,,"Founder framing"
MEM0-C-005,"Core package licensed Apache 2.0",8,E1,HIGH,S-002,code,2026-07-26,adopted-at-scale,no,,"LICENSE file in repository"
MEM0-C-006,"Founders previously built Embedchain, a RAG framework with 2M+ downloads",1,E1,HIGH,S-003,press,2026-07-26,n/a,no,,"Consistent across multiple independent-origin accounts"
MEM0-C-007,"Pivot originated from a meditation app lacking contextual memory",2,E2,MEDIUM,S-005,press,2026-07-26,n/a,no,,"Single-origin founder narrative"
MEM0-C-008,"Thesis: large labs have no incentive to make memory portable",1,E1,HIGH,S-005,press,2026-07-26,n/a,no,,"Direct founder statement"
MEM0-C-009,"Marketed as three lines of code to integrate",1,E1,HIGH,S-001,press,2026-07-26,GA,no,,"Company press release"
MEM0-C-010,"Optimises integration breadth over single-capability depth",1,E3,MEDIUM,S-004;S-006,inference,2026-07-26,n/a,no,,"19 vector backends and 13 framework integrations vs comparatively underdeveloped temporal reasoning"
MEM0-C-011,"Published arXiv paper 2504.19413 on scalable long-term memory",2,E1,HIGH,S-002,paper,2026-07-26,n/a,no,,"Citation block in official repository"
MEM0-C-012,"Raised $24M total: $3.9M seed led by Kindred plus $20M Series A led by Basis Set, announced 2025-10-28",2,E1,HIGH,S-001;S-007,press,2026-07-26,n/a,yes,,"CONTESTED with aggregator figures - see C-017, C-018. Company press release is primary."
MEM0-C-013,"April 2026 algorithm rewrite claims temporal and multi-hop gains",5,E2,LOW,S-006,blog,2026-07-26,GA,no,,"Vendor claim; no independent post-rewrite benchmark located"
MEM0-C-014,"CEO Taranjeet Singh previously at Paytm and Khatabook; built GPT app store reaching 1M+ users",2,E2,MEDIUM,S-005,press,2026-07-26,n/a,no,,"Single-origin profile piece"
