Page name,URL,Viewport,Screenshot,Title,Visible components summary,Hosts observed,Observed/inferred,Confidence
landing,https://www.regacore.com/,1440x1000,screenshots/landing_desktop.jpg,Regacore,"What we test | FAQs | Log in | Become a member | Menu | Log in | Be a member | Explore | What we test | How it works | FAQ | About | Company | Blog |  | Join our waitlist for early access |  | Join waitlist | HSA/ FSA eligible | Get better at being | healthy, every year |  | 100+ biomarkers. A plan built around you. | Everything you need to act","static.cloudflareinsights.com, www.regacore.com",Observed,High
whatwetest,https://www.regacore.com/whatwetest,1440x1000,screenshots/whatwetest_desktop.jpg,Regacore,"What we test | FAQs | Log in | Become a member | Menu | Log in | Be a member | Explore | What we test | How it works | FAQ | About | Company | Blog | Every system in your body, | in one blood draw. |  | We analyze over 100 critical biomarkers across 12 organ systems to construct your digital twin. No guessing, just precision data. |  | ","static.cloudflareinsights.com, www.regacore.com",Observed,High
how-it-works,https://www.regacore.com/how-it-works,1440x1000,screenshots/how-it-works_desktop.jpg,Regacore,"What we test | FAQs | Log in | Become a member | Menu | Log in | Be a member | Explore | What we test | How it works | FAQ | About | Company | Blog | BACK TO HOME | How Regacore Works |  | A continuous loop of biomarker testing, digital twin analysis, and personalized physician-led longevity protocols. |  | THE REGACORE EXPERIENCE | The c","static.cloudflareinsights.com, www.regacore.com",Observed,High
checkout,https://www.regacore.com/checkout,1440x1000,screenshots/checkout_desktop.jpg,Regacore,"Regacore membership | A health check like never before |  | Sign up to test 100+ biomarkers yearly, visualize health records and get a personalized plan that actually works. |  | Trusted by thousands of members. | 1 | Create your account | Email | Continue |  | Already have an account? Log in |  | 2 | Payment | Complete step 1 t","i.pravatar.cc, static.cloudflareinsights.com, www.regacore.com",Observed,High
login,https://www.regacore.com/login,1440x1000,screenshots/login_desktop.jpg,Regacore,regacore | Welcome back |  | Don't have an account? Create an account |  | EMAIL ADDRESS | PASSWORD | Login | Privacy Policy | Terms of Service,"static.cloudflareinsights.com, www.regacore.com",Observed,High
waitlist,https://www.regacore.com/waitlist,1440x1000,screenshots/waitlist_desktop.jpg,Regacore,< | Name | continue,"static.cloudflareinsights.com, www.regacore.com",Observed,High
privacy,https://www.regacore.com/privacy,1440x1000,screenshots/privacy_desktop.jpg,Privacy Policy | Regacore,"What we test | FAQs | Log in | Become a member | Menu | Log in | Be a member | Explore | What we test | How it works | FAQ | About | Company | Blog | Privacy Policy |  | Last Updated: May 2026 |  | Regacore Technologies Private Limited (""us"", ""we"", or ""Regacore"", which also includes its affiliates) is the author and publisher of the i","static.cloudflareinsights.com, www.regacore.com",Observed,High
termsandconditions,https://www.regacore.com/termsandconditions,1440x1000,screenshots/termsandconditions_desktop.jpg,Terms & Conditions | Regacore,"What we test | FAQs | Log in | Become a member | Menu | Log in | Be a member | Explore | What we test | How it works | FAQ | About | Company | Blog | Terms & Conditions |  | Regacore Private Limited (""Regacore"", ""we"", ""us""), is the author and publisher of the internet resource regacore.com and the mobile application 'Regacore' (to","static.cloudflareinsights.com, www.regacore.com",Observed,High
blog,https://www.regacore.com/blog,1440x1000,screenshots/blog_desktop.jpg,Regacore,"What we test | FAQs | Log in | Become a member | Menu | Log in | Be a member | Explore | What we test | How it works | FAQ | About | Company | Blog | BACK TO HOME | Longevity Journal |  | Clinical analyses, biological breakthroughs, and scientific recommendations from our medical advisory board. |  | All | Science | Longevity | Nutrition | Horm","static.cloudflareinsights.com, www.regacore.com",Observed,High
blog_science_of_biological_aging,https://www.regacore.com/blog/science-of-biological-aging,1440x1000,screenshots/blog_science_of_biological_aging_desktop.jpg,Regacore,"What we test | FAQs | Log in | Become a member | Menu | Log in | Be a member | Explore | What we test | How it works | FAQ | About | Company | Blog | BACK TO LONGEVITY JOURNAL | SCIENCE | The Science of Biological Aging: Beyond Chronological Time | July 01, 2026 | 8 min read | | | Written by Regacore Medical Advisory Board |  | How advanced b","static.cloudflareinsights.com, www.regacore.com",Observed,High
