rank,pattern,family,label,companies,india,us,primary,total_hits,cross_geo,cross_class,genome_concept,gap_position,carriers
1,int_ehr_fhir,integration,GREEN,20,5,13,2,814,True,True,ehr_record_retrieval,before_commit,D01|D03|D04|D05|D06|D07|D08|D09|D10|D11|D12|D13|D14|D15|D16|D17|D18|D19|G01|I01
2,sec_hipaa_baa,security,GREEN,20,5,14,1,391,True,True,compliance_certification,wrapper,D01|D02|D03|D04|D05|D06|D07|D08|D09|D10|D11|D12|D13|D14|D15|D16|D17|D18|D19|G01
3,int_lab_network,integration,GREEN,19,4,14,1,688,True,True,biomarker_lab_panel,before_commit,D01|D02|D03|D04|D05|D06|D07|D08|D09|D10|D11|D12|D13|D14|D15|D16|D18|D19|G01
4,ux_dashboard_home,ux,GREEN,19,4,14,1,461,True,True,analytics_dashboard,before_commit,D01|D02|D03|D04|D05|D06|D07|D08|D10|D11|D12|D13|D14|D15|D16|D17|D18|D19|G01
5,arch_agentic_multistep,architecture,GREEN,18,5,12,1,586,True,True,task_workflow_engine,AT_COMMIT,D01|D03|D04|D06|D07|D08|D09|D10|D11|D12|D13|D14|D15|D16|D17|D18|D19|G01
6,arch_llm_wrapper,architecture,GREEN,18,4,13,1,357,True,True,ai_chat_assistant,before_commit,D01|D02|D03|D04|D05|D07|D08|D10|D11|D12|D13|D14|D15|D16|D17|D18|D19|G01
7,ai_citation_grounding,ai,GREEN,17,4,12,1,376,True,True,explainability_provenance,before_commit,D01|D02|D03|D04|D05|D06|D07|D08|D09|D11|D12|D13|D16|D17|D18|D19|I01
8,sec_encryption,security,GREEN,17,4,12,1,273,True,True,security_access_control,wrapper,D01|D02|D03|D04|D05|D06|D07|D08|D10|D11|D12|D13|D14|D17|D18|D19|G01
9,arch_api_platform,architecture,GREEN,17,5,12,0,188,True,False,fhir_api_surface,before_commit,D01|D03|D04|D05|D06|D07|D08|D09|D10|D11|D12|D13|D15|D16|D17|D18|D19
10,bot_incumbent_lockin,bottleneck,GREEN,16,5,10,1,209,True,True,,,D02|D03|D04|D06|D07|D08|D09|D10|D11|D12|D13|D16|D17|D18|D19|G01
11,sec_soc2_iso,security,GREEN,16,4,11,1,200,True,True,compliance_certification,wrapper,D01|D03|D04|D05|D06|D07|D08|D09|D11|D14|D15|D16|D17|D18|D19|G01
12,ai_confidence_calibration,ai,GREEN,16,4,12,0,196,True,False,safety_guardrails,wrapper,D01|D03|D04|D05|D06|D07|D08|D09|D11|D12|D14|D15|D16|D17|D18|D19
13,int_wearable_sdk,integration,GREEN,14,4,10,0,436,True,False,device_sdk_ingest,before_commit,D03|D04|D05|D06|D07|D10|D11|D12|D13|D14|D16|D17|D18|D19
14,arch_rag_over_corpus,architecture,GREEN,14,4,10,0,164,True,False,rag_grounded_answer,before_commit,D01|D02|D04|D05|D06|D07|D08|D09|D11|D13|D15|D17|D18|D19
15,arch_mobile_first_app,architecture,GREEN,13,4,9,0,153,True,False,conversion_growth_surface,wrapper,D04|D05|D06|D09|D10|D11|D12|D13|D14|D15|D16|D17|D18
16,arch_human_in_loop,architecture,GREEN,13,3,10,0,114,True,False,clinician_review_loop,human_fallback,D02|D03|D04|D05|D06|D07|D08|D11|D13|D15|D16|D17|D19
17,arch_cloud_saas_multitenant,architecture,GREEN,12,4,7,1,258,True,True,fhir_api_surface,before_commit,D03|D04|D08|D10|D11|D14|D15|D16|D17|D18|D19|G01
18,fail_billing_cancellation,failure,GREEN,12,4,8,0,206,True,False,,,D01|D02|D03|D04|D05|D08|D09|D10|D11|D16|D17|D18
19,int_abdm_national,integration,GREEN,11,4,6,1,150,True,True,fhir_api_surface,before_commit,D08|D09|D11|D12|D13|D15|D16|D17|D18|D19|I01
20,sec_dpdp_gdpr,security,GREEN,11,4,7,0,143,True,False,compliance_certification,wrapper,D02|D04|D08|D09|D11|D12|D14|D16|D17|D18|D19
21,fail_engagement_dropoff,failure,GREEN,11,3,7,1,109,True,True,,,D03|D04|D05|D08|D11|D13|D16|D17|D18|D19|G01
22,fail_retention_churn,failure,GREEN,11,3,8,0,94,True,False,,,D03|D04|D05|D06|D08|D11|D13|D16|D17|D18|D19
23,bot_cac_distribution,bottleneck,GREEN,11,5,6,0,91,True,False,,,D02|D03|D04|D06|D09|D10|D11|D12|D17|D18|D19
24,ux_streak_habit,ux,GREEN,10,3,7,0,139,True,False,gamification_habit,wrapper,D02|D04|D05|D10|D11|D14|D15|D16|D17|D18
25,adopt_land_expand,adoption,GREEN,10,3,7,0,63,True,False,,,D01|D03|D07|D08|D11|D15|D16|D17|D18|D19
26,adopt_content_seo,adoption,GREEN,9,3,6,0,129,True,False,,,D02|D03|D04|D05|D07|D10|D11|D17|D18
27,ux_single_score,ux,GREEN,8,3,5,0,113,True,False,composite_health_score,before_commit,D02|D03|D04|D05|D10|D11|D14|D19
28,arch_data_lake_longitudinal,architecture,GREEN,8,4,4,0,54,True,False,longitudinal_timeline,before_commit,D01|D06|D08|D10|D11|D16|D17|D19
29,arch_on_device_local,architecture,YELLOW,7,1,5,1,73,False,True,security_access_control,wrapper,D11|D12|D13|D14|D16|D18|G01
30,fail_hardware_compat_backlash,failure,YELLOW,6,1,4,1,91,False,True,,,D13|D14|D16|D17|D18|G01
31,fail_hardware_compat,failure,YELLOW,6,1,4,1,74,False,True,,,D13|D14|D16|D17|D18|G01
32,fail_privacy_consent_trust,failure,YELLOW,6,2,3,1,52,True,True,,,D04|D06|D11|D14|D19|G01
33,fail_data_privacy,failure,YELLOW,6,2,3,1,48,True,True,,,D04|D06|D11|D14|D19|G01
34,fail_clinical_regulatory_boundary,failure,YELLOW,6,3,3,0,37,True,False,,,D02|D03|D04|D10|D11|D19
35,sec_consent_granular,security,YELLOW,5,2,3,0,37,True,False,consent_management,before_commit,D01|D04|D05|D11|D19
36,adopt_employer_channel,adoption,YELLOW,4,2,2,0,53,True,False,,,D03|D04|D11|D17
37,onb_concierge_white_glove,adoption,WEAK,6,1,5,0,89,False,False,,,D02|D03|D04|D05|D13|D17
38,ai_personalisation_context,ai,WEAK,6,0,6,0,40,False,False,,,D02|D04|D05|D06|D14|D18
39,ai_red_team_eval,ai,WEAK,6,1,5,0,37,False,False,,,D03|D05|D06|D08|D11|D18
40,adopt_influencer,adoption,WEAK,5,0,5,0,155,False,False,,,D03|D04|D05|D14|D16
41,pri_annual_membership,pricing,WEAK,5,0,5,0,76,False,False,,,D02|D04|D05|D13|D16
42,pri_hardware_plus_sub,pricing,WEAK,5,1,4,0,41,False,False,,,D13|D14|D16|D18|D19
43,int_pharmacy_network,integration,WEAK,4,3,1,0,38,False,False,,,D04|D09|D10|D11
44,int_payment_gateway,integration,WEAK,4,0,4,0,35,False,False,,,D02|D03|D05|D15
45,ux_progressive_onboarding,ux,WEAK,4,1,3,0,32,False,False,,,D03|D05|D11|D18
46,fail_accuracy_interpretation,failure,WEAK,4,0,4,0,26,False,False,,,D04|D08|D12|D16
47,pri_monthly_sub,pricing,WEAK,4,1,3,0,24,False,False,,,D04|D05|D07|D11
48,pri_enterprise_seat,pricing,WEAK,3,0,3,0,55,False,False,,,D08|D14|D18
49,pri_freemium,pricing,WEAK,3,1,2,0,51,False,False,,,D11|D14|D18
50,fail_support_responsiveness,failure,WEAK,3,1,2,0,32,False,False,,,D03|D11|D16
51,pri_transparent_flat,pricing,WEAK,3,1,2,0,31,False,False,,,D04|D16|D17
52,fail_trust_conflict,failure,WEAK,3,2,1,0,28,False,False,,,D04|D10|D17
53,fail_manual_burden,failure,WEAK,3,0,3,0,20,False,False,,,D03|D05|D16
54,onb_free_trial,adoption,WEAK,2,0,2,0,22,False,False,,,D08|D16
55,pri_usage_based,pricing,WEAK,2,0,2,0,20,False,False,,,D04|D18
56,fail_accuracy_trust,failure,WEAK,2,0,2,0,15,False,False,,,D12|D16
57,fail_price_value_perception,failure,WEAK,2,0,2,0,15,False,False,,,D04|D18
58,ux_conversational,ux,WEAK,2,0,2,0,14,False,False,,,D14|D18
59,ux_explainer_drilldown,ux,WEAK,1,0,1,0,15,False,False,,,D06
60,bot_integration_effort,bottleneck,WEAK,1,0,1,0,14,False,False,,,D15
61,fail_support_slow,failure,WEAK,1,0,1,0,13,False,False,,,D16
62,bot_data_acquisition,bottleneck,WEAK,1,0,1,0,12,False,False,,,D01
