id,target,research,evidence,strategic,technical,healthcare,commercial,regulatory,engineering,halluc_safety,overall,words,struct_rows,canon,cite_per_kw,artifact_class,fit_for_objective,adjusted_priority
G01,JARVIS-Automation (enginee,3.4,4.0,2.7,5.9,3.8,1.2,9.9,7.9,8.7,4.9,23276,0,12,0.2,ground_truth,10,7.27
D18,UpToDate (Wolters Kluwer),8.4,4.0,8.7,9.8,10,5.4,7.2,8.9,3.2,7.8,54638,137,27,0.0,competitor_dossier,8,7.14
D01,Human API / LexisNexis Hea,5.4,4.6,4.7,10,4.3,1.4,2.7,6.2,8.9,4.9,9141,118,24,2.8,competitor_dossier,9,6.89
I01,HPID Phase-0 registry (449,3.1,4.2,1.0,1.4,8.1,1.0,1,1.2,9.0,2.6,2572,449,5,1.6,infrastructure,10,6.62
D11,HealthifyMe / Healthify,7.7,4.9,8.0,7.5,8.9,6.7,7.1,6.2,4.8,7.1,41437,146,27,1.2,competitor_dossier,7,6.61
D06,OpenEvidence,6.7,6.6,7.0,2.7,1.8,1.5,3.9,2.2,9.0,4.0,15765,217,27,29.0,competitor_dossier,8,6.52
D17,Practo,6.8,4.2,6.5,4.7,9.5,3.2,4.7,3.1,8.0,5.3,16611,214,27,1.8,competitor_dossier,8,6.43
D03,Superpower Health,7.1,4.7,6.4,4.6,8.7,4.3,2.6,3.8,4.6,5.3,20983,227,27,0.2,competitor_dossier,7,6.03
D12,Apple Health / HealthKit,5.3,5.5,4.4,2.2,6.0,1.0,2.2,1.7,9,3.5,7176,89,25,27.6,competitor_dossier,7,5.65
D15,Atropos Health,6.0,4.8,5.7,3.6,4.4,1.3,1.8,3.2,9.0,3.9,9131,131,27,22.9,competitor_dossier,7,5.63
D04,Function Health,6.7,2.5,8.5,9.7,2.5,7.4,10,7.2,3.3,6.8,35322,0,27,0.5,competitor_dossier,6,5.54
D13,Google Health,6.4,1.9,5.4,5.3,9.7,1.6,2.1,3.3,8.0,4.5,13841,172,27,0.1,competitor_dossier,7,5.23
D08,AMBOSS,6.0,4.8,5.3,2.3,4.1,1.4,2.2,3.4,9.0,3.7,12957,124,26,29.7,competitor_dossier,6,5.07
D19,Ultrahuman,5.8,5.0,6.2,2.7,4.2,1.8,2.2,5.1,9.0,4.1,14158,40,27,21.6,competitor_dossier,5,4.73
D16,WHOOP,6.8,3.0,6.1,4.4,7.2,3.0,8.8,3.5,8.3,5.3,21655,160,27,3.0,competitor_dossier,5,4.69
D07,Glass Health,5.0,3.5,4.9,3.6,2.3,1.5,2.4,3.3,9.0,3.3,6597,57,24,11.4,competitor_dossier,6,4.69
D09,Apollo 24|7,5.1,5.1,4.5,2.2,2.2,1.1,1.5,1.7,9.0,2.9,6776,50,25,31.6,competitor_dossier,5,4.39
D05,Levels Health,8.0,2.3,6.5,2.0,3.0,3.0,2.5,5.9,8.8,4.2,17013,485,27,7.6,competitor_dossier,5,4.22
D10,Tata 1mg,5.9,2.4,6.4,3.1,1.7,3.2,1.2,2.3,4.7,3.3,13006,64,27,0.0,competitor_dossier,5,3.97
D14,Oura Health,5.4,3.9,6.3,1.9,2.4,3.8,4.9,1.8,8.6,3.8,13399,0,26,9.6,competitor_dossier,4,3.92
D02,Regacore,4.9,4.4,4.6,1.1,2.1,1.5,1.7,1.5,9.0,2.7,10274,0,24,4.0,competitor_dossier,3,3.19
