journey,stage,owners,gap_class,gap_position,concept,strategic_importance,jarvis_status,jarvis_loc,companies
administration,bed_capacity,0,TRUE_GAP,AT_COMMIT,task_workflow_engine,5.1,partial_exists,1767,
administration,mis_reporting,0,TRUE_GAP,before_commit,analytics_dashboard,2.3,absent,0,
administration,procurement,15,CROWDED,unmapped,,,unknown,0,D01|D03|D05|D06|D07|D08|D09|D10|D11|D13|D15|D18|D19|G01|I01
administration,staff_roster,2,UNOWNED,AT_COMMIT,task_workflow_engine,5.1,partial_exists,1767,D05|G01
billing,assign_codes,6,CONTESTED,AT_COMMIT,billing_claims,7.7,absent,0,D07|D11|D14|D15|D18|G01
billing,capture_charges,1,UNOWNED,AT_COMMIT,billing_claims,7.7,absent,0,G01
billing,collect_patient_share,15,CROWDED,unmapped,,,unknown,0,D02|D03|D05|D06|D08|D09|D10|D12|D13|D14|D15|D16|D17|D18|D19
billing,submit_claim,1,UNOWNED,AT_COMMIT,billing_claims,7.7,absent,0,I01
billing,track_denial,1,UNOWNED,AT_COMMIT,billing_claims,7.7,absent,0,G01
billing,validate_claim,0,TRUE_GAP,AT_COMMIT,billing_claims,7.7,absent,0,
compliance,access_control,16,CROWDED,wrapper,security_access_control,1.8,partial_exists,926,D01|D04|D05|D06|D07|D08|D09|D11|D12|D13|D14|D16|D17|D18|D19|G01
compliance,audit_trail,13,CROWDED,before_commit,explainability_provenance,3.0,partial_exists,815,D01|D04|D05|D06|D08|D09|D11|D12|D13|D17|D18|D19|G01
compliance,breach_response,7,CONTESTED,unmapped,,,unknown,0,D04|D06|D11|D14|D16|D19|G01
compliance,consent_capture,0,DISCUSSED_NOT_OWNED,before_commit,consent_management,3.1,absent,0,
compliance,regulatory_report,0,DISCUSSED_NOT_OWNED,wrapper,compliance_certification,2.0,absent,0,
doctor,code_encounter,5,CONTESTED,AT_COMMIT,billing_claims,7.7,absent,0,D07|D11|D14|D15|G01
doctor,decide_treatment,9,CONTESTED,unmapped,,,unknown,0,D02|D04|D06|D07|D08|D11|D12|D15|D18
doctor,document_note,19,CROWDED,AT_COMMIT,documentation_scribe,8.3,partial_exists,362,D01|D03|D04|D05|D06|D07|D08|D09|D10|D11|D12|D13|D14|D15|D16|D17|D18|D19|G01
doctor,form_differential,4,CONTESTED,before_commit,clinical_decision_support,3.4,absent,0,D03|D07|D08|D18
doctor,handoff,5,CONTESTED,AT_COMMIT,referral_care_coordination,7.1,absent,0,D03|D07|D09|D12|D19
doctor,interpret_results,1,UNOWNED,before_commit,clinical_decision_support,3.4,absent,0,D04
doctor,order_tests,4,CONTESTED,AT_COMMIT,ordering_eprescribing,6.6,absent,0,D03|D04|D16|G01
doctor,prescribe,13,CROWDED,AT_COMMIT,ordering_eprescribing,6.6,absent,0,D02|D03|D04|D05|D06|D08|D09|D10|D11|D14|D17|D18|G01
doctor,refer_or_admit,17,CROWDED,AT_COMMIT,referral_care_coordination,7.1,absent,0,D01|D02|D03|D04|D05|D06|D07|D08|D09|D11|D12|D13|D16|D17|D18|D19|G01
doctor,review_inbox_results,2,UNOWNED,AT_COMMIT,task_workflow_engine,5.1,partial_exists,1767,D12|D18
doctor,review_prior_record,9,CONTESTED,before_commit,ehr_record_retrieval,3.3,absent,0,D01|D03|D06|D08|D11|D15|D16|D17|D19
doctor,take_history,0,TRUE_GAP,unmapped,,,unknown,0,
emergency,disposition_decide,0,TRUE_GAP,before_commit,clinical_decision_support,3.4,absent,0,
emergency,triage,9,CONTESTED,before_commit,clinical_decision_support,3.4,absent,0,D03|D06|D07|D09|D10|D11|D16|D17|D18
icu,continuous_monitor,2,UNOWNED,before_commit,anomaly_alerting,4.7,absent,0,D04|D10
icu,multi_team_round,10,CROWDED,unmapped,,,unknown,0,D01|D03|D04|D08|D11|D13|D14|D15|D17|D18
icu,ventilator_manage,0,TRUE_GAP,before_commit,anomaly_alerting,4.7,absent,0,
insurance,adjudicate,0,DISCUSSED_NOT_OWNED,AT_COMMIT,billing_claims,7.7,absent,0,
insurance,pre_authorise,2,UNOWNED,AT_COMMIT,billing_claims,7.7,absent,0,D06|G01
insurance,verify_coverage,6,CONTESTED,unmapped,,,unknown,0,D06|D08|D11|D12|D16|G01
laboratory,analyse,1,UNOWNED,unmapped,,,unknown,0,G01
laboratory,collect_specimen,3,CONTESTED,unmapped,,,unknown,0,D02|D03|D10
laboratory,flag_critical,0,DISCUSSED_NOT_OWNED,before_commit,anomaly_alerting,4.7,absent,0,
laboratory,release_result,0,TRUE_GAP,before_commit,anomaly_alerting,4.7,absent,0,
laboratory,validate_result,2,UNOWNED,unmapped,,,unknown,0,D10|D19
management,capacity_plan,0,TRUE_GAP,before_commit,analytics_dashboard,2.3,absent,0,
management,dashboard_review,19,CROWDED,before_commit,analytics_dashboard,2.3,absent,0,D01|D02|D03|D04|D05|D06|D07|D08|D10|D11|D12|D13|D14|D15|D16|D17|D18|D19|G01
management,revenue_analyse,1,UNOWNED,unmapped,,,unknown,0,G01
nurse,administer_meds,4,CONTESTED,AT_COMMIT,ordering_eprescribing,6.6,absent,0,D03|D11|D18|G01
nurse,document_care,0,TRUE_GAP,AT_COMMIT,documentation_scribe,8.3,partial_exists,362,
nurse,escalate_deterioration,9,CONTESTED,before_commit,anomaly_alerting,4.7,absent,0,D02|D04|D05|D06|D08|D11|D14|D15|D17
nurse,give_handover,0,TRUE_GAP,AT_COMMIT,referral_care_coordination,7.1,absent,0,
nurse,monitor_response,0,TRUE_GAP,before_commit,anomaly_alerting,4.7,absent,0,
nurse,record_vitals,6,CONTESTED,before_commit,patient_reported_input,3.1,absent,0,D03|D13|D14|D15|D16|D18
operation_theatre,consent,0,UNOWNED,unmapped,,,unknown,0,
operation_theatre,perform_surgery,2,UNOWNED,unmapped,,,unknown,0,D11|D17
operation_theatre,schedule_slot,0,TRUE_GAP,AT_COMMIT,scheduling_booking,8.4,absent,0,
operation_theatre,turnover_room,0,TRUE_GAP,AT_COMMIT,task_workflow_engine,5.1,partial_exists,1767,
