id,journey,stage,owners,gap_class,gap_position,concept,jarvis,domain
W001,administration,bed_capacity,0,TRUE_GAP,AT_COMMIT,task_workflow_engine,partial_exists,administrative
W002,administration,mis_reporting,0,TRUE_GAP,before_commit,analytics_dashboard,absent,administrative
W003,administration,procurement,15,CROWDED,unmapped,,unknown,administrative
W004,administration,staff_roster,2,UNOWNED,AT_COMMIT,task_workflow_engine,partial_exists,administrative
W005,billing,assign_codes,6,CONTESTED,AT_COMMIT,billing_claims,absent,financial
W006,billing,capture_charges,1,UNOWNED,AT_COMMIT,billing_claims,absent,financial
W007,billing,collect_patient_share,15,CROWDED,unmapped,,unknown,financial
W008,billing,submit_claim,1,UNOWNED,AT_COMMIT,billing_claims,absent,financial
W009,billing,track_denial,1,UNOWNED,AT_COMMIT,billing_claims,absent,financial
W010,billing,validate_claim,0,TRUE_GAP,AT_COMMIT,billing_claims,absent,financial
W011,compliance,access_control,16,CROWDED,wrapper,security_access_control,partial_exists,administrative
W012,compliance,audit_trail,13,CROWDED,before_commit,explainability_provenance,partial_exists,administrative
W013,compliance,breach_response,7,CONTESTED,unmapped,,unknown,administrative
W014,compliance,consent_capture,0,DISCUSSED_NOT_OWNED,before_commit,consent_management,absent,administrative
W015,compliance,regulatory_report,0,DISCUSSED_NOT_OWNED,wrapper,compliance_certification,absent,administrative
W016,doctor,code_encounter,5,CONTESTED,AT_COMMIT,billing_claims,absent,clinical
W017,doctor,decide_treatment,9,CONTESTED,unmapped,,unknown,clinical
W018,doctor,document_note,19,CROWDED,AT_COMMIT,documentation_scribe,partial_exists,clinical
W019,doctor,form_differential,4,CONTESTED,before_commit,clinical_decision_support,absent,clinical
W020,doctor,handoff,5,CONTESTED,AT_COMMIT,referral_care_coordination,absent,clinical
W021,doctor,interpret_results,1,UNOWNED,before_commit,clinical_decision_support,absent,clinical
W022,doctor,order_tests,4,CONTESTED,AT_COMMIT,ordering_eprescribing,absent,clinical
W023,doctor,prescribe,13,CROWDED,AT_COMMIT,ordering_eprescribing,absent,clinical
W024,doctor,refer_or_admit,17,CROWDED,AT_COMMIT,referral_care_coordination,absent,clinical
W025,doctor,review_inbox_results,2,UNOWNED,AT_COMMIT,task_workflow_engine,partial_exists,clinical
W026,doctor,review_prior_record,9,CONTESTED,before_commit,ehr_record_retrieval,absent,clinical
W027,doctor,take_history,0,TRUE_GAP,unmapped,,unknown,clinical
W028,emergency,disposition_decide,0,TRUE_GAP,before_commit,clinical_decision_support,absent,clinical
W029,emergency,triage,9,CONTESTED,before_commit,clinical_decision_support,absent,clinical
W030,icu,continuous_monitor,2,UNOWNED,before_commit,anomaly_alerting,absent,clinical
