id,law,statement,evidence,tradeoff,failure_case
ENG01,Protocol over platform,Define the action contract first; let adapters satisfy it. Never let a platform-specific detail reach the planner.,JARVIS base_adapter.py defines detect_ui/build_plan/verify_action_result as an abstract contract; the 149 fabricated adapters failed because they satisfied the SHAPE of the contract without the substance,Contract rigidity slows one-off integrations,A contract too abstract to verify produces verify_action_result(): return True — exactly what 144/160 adapters did
ENG02,Verification over automation,An action is not done until independently observed as done. No verification = no action.,"CB-06 144/160 adapters return True unconditionally; docs/adapter_audit.md: first step real, last step missing; ODAV loop already has a verify stage",Verification can cost more than the action itself,Verifying the wrong signal (URL changed) instead of the outcome (message sent)
ENG03,Honest failure over silent success,Report inability explicitly and specifically. Never no-op silently.,"resolution_gate.py: ""I do not know how to control [platform] yet""; Phase8 R5 shows this is the entry condition to the only virtuous loop",Surfaces incompleteness to users; feels worse in demos,Honest failure without a path forward becomes learned helplessness
ENG04,Policy over prompts,"Safety constraints belong in deterministic code, not in model instructions.",JARVIS policy_manager.py 338 LOC + permission_engine.py 301 LOC + feature_gate modes; prompts cannot be audited or diffed,Less flexible than natural-language policy,Policy engine that can be bypassed by the planner defeats its own purpose
ENG05,Adapters over replacements,Integrate with the incumbent; never attempt to replace the system of record.,LAW01 (incumbent lock-in GREEN 16 cos); Phase2 0/19 occupy SoR; B2 balancing loop,Ceiling on capability set by the host system,Adapter coupling to an unstable UI creates permanent maintenance debt
ENG06,Graduated autonomy per action class,"Autonomy is granted per action type by reversibility and blast radius, never globally.",feature_gate.py implements OFF/SHADOW/SUGGEST/FORCE; Phase7 F-7.5 human review is liability allocation; B1 loop,Complex permission matrix,Uniform autonomy setting forces the whole system to the safety level of its riskiest action
ENG07,"Local reasoning for PHI, cloud reasoning for general intelligence","Split inference by data sensitivity, not by capability need.",JARVIS local-first Ollama; Phase5 arch_on_device_local is the ONE non-converged architecture (7 cos); DPDP/HIPAA localisation pressure,Local models are weaker; hybrid routing adds complexity,memory_store.py XOR encryption shows local != secure (CB-08)
ENG08,Depth-first over breadth-first,One workflow completed end-to-end beats one hundred declared.,CB-04 3 real/8 defective/149 fabricated; Phase8 R6 flywheel requires completion to generate failure signal,Slower apparent coverage; worse for marketing,Depth in the wrong workflow wastes the entire budget
ENG09,"State must live in the system, not in the human","If a workflow requires a human to remember it, the software has failed.","Phase6: bed state ""lives in whiteboards and phone calls""; Phase4 break rate 1.00 in ICU/ED/admin",Requires durable state model and reconciliation,System state diverging from reality is worse than no state
ENG10,Provenance is a first-class output,"Every action emits an auditable record of what, why, on whose authority, with what evidence.",audit_log.py 307 LOC + execution_logger.py 225; LAW07 trust via traceability; Phase7 F-7.4 strengthens under autonomy,Storage and performance overhead,Logs nobody can query are compliance theatre
ENG11,The orphaned-module rule: unreachable code is not capability,"A module nothing imports does not exist. Measure reachability, not lines.",CB-09 MemoryStore orphaned - imported only by feedback_engine/optimizer which nothing imports; 10515 LOC across 13 concepts but reachability unverified (G-3.4),Reachability analysis is extra work,Counting orphaned LOC as progress - the exact error both G01 panels made
ENG12,Merge before you build,"Unmerged work is negative value: it decays, conflicts, and hides the true baseline.",CB-02 9713 unmerged lines on phase-2-adapter-wiring; default branch = README cosmetics with 7 passing tests vs 325 on the branch,Merging costs time that feels unproductive,Merging without CI reproduces the same divergence next cycle
