id,recommendation,status,defence,conditions,confidence
BT01,"Stage 0: wire the safety stack, merge the branch, add CI",FULLY SURVIVES,"Not attacked by any red-team vector. Zero capital, zero market risk, pure downside removal. Value is independent of whether the beachhead thesis holds.",None,HIGH
BT02,"Operational scope only, no clinical decisions for 24 months",FULLY SURVIVES,RT08 attacked the commit-gap thesis and in surviving RESTRICTED it to exactly this scope. RT07 attacked it as unambitious; LAW04 shows clinical entry is unsafe for a solo builder. Two independent attacks converged on confirming it.,None,HIGH
BT03,"JARVIS as technical foundation, with Stage 0 mandatory",SURVIVES CONDITIONALLY,"RT05 correctly notes 76% unreachable and orphaned safety. But the REACHABLE execution stack (ui_executor 567, odav_loop 355, command_router 347, resolution_gate 174, validation_engine 286) is the exact capability the market lacks and is genuinely hard to rebuild.",Stage 0 completed first; XOR replaced before any PHI,MEDIUM-HIGH
BT04,SHADOW-mode entry into every hospital,STRENGTHENED BY ATTACK,Emerged as the defence to the highest-severity threat (CIO rejection). Simultaneously the R5 trust-loop entry condition and the procurement objection handler. Already implemented in feature_gate.,None,HIGH
BT05,India-first sequencing,"SURVIVES ON STRUCTURE, UNVALIDATED ON ECONOMICS","LAW11 (fragmentation favours interface layer) and LAW12 (NHCX network verified live: 38 partners, 12 insurers, 4 TPAs) are strong. It is also the structural defence against Epic (NICHE tier in India).",RT06 unit economics must be validated with one real hospital before scaling,MEDIUM
BT06,"Depth-first adapters, freeze at 14, quarantine 149",FULLY SURVIVES,Code-backed (CB-04) and loop-backed (R6). The repository already reached this conclusion independently in its own adapter_audit.md. No attack contests it.,None,HIGH
BT07,Moat = domain adapters + policy + provenance (NOT automation),"REFRAMED BY ATTACK, NOW STRONGER",RT02 correctly showed coverage alone is not defensible and OpenAI commoditises clicking. The reframe to domain+policy+provenance is more defensible than the original and aligns with LAW07 and ENG10.,Accept there is no moat for 12+ months,MEDIUM
BT08,Beachhead: OT turnover / claim validation in Indian hospitals,CONDITIONALLY SURVIVES - EVIDENCE GATED,Robust across all 5 weighting scenarios including one that deletes JARVIS-readiness. Break-rate evidence (1.00 in admin/ICU/ED) suggests that even where HMIS modules exist they do not connect.,"BLOCKED until 82 ABDM demo videos reviewed (DL-066). If modules exist and connect, pivot to the claim chain which has a verified external rail.",MEDIUM-LOW until evidence closes
BT09,"Flat pilot fee, outcome pricing later",REPLACED BY ATTACK,RT04 correctly identified circular dependency. Flat pilot fee removes it. Weaker but executable.,Outcome pricing only after measurement infrastructure exists,MEDIUM
BT10,No hires until one workflow completes end-to-end,FULLY SURVIVES,Unattacked. Consistent with DL-007 and with the pivotal unknown being domain knowledge rather than engineering capacity.,None,HIGH
