id,concept,gap_position,companies,user_value,business_value,eng_cx,clin_cx,infra_cx,reg_cx,strategic_importance,future_importance,jarvis_status,jarvis_loc,dependencies
F001,agent_tool_transparency,before_commit,1,4,,,,,,3.7,5.0,partial_exists,508,
F002,ai_chat_assistant,before_commit,15,4.2,4.1,3.6,3.3,3.8,3.3,2.8,3.0,partial_exists,1017,
F003,analytics_dashboard,before_commit,16,3.3,3.8,3.2,2.7,3.1,2.6,2.3,2.5,absent,0,
F004,anomaly_alerting,before_commit,2,5,4,3.5,4,3.5,4,4.7,5.1,absent,0,
F005,auth_session,wrapper,14,3.4,4.1,3.0,2.8,3,2.9,1.8,1.9,partial_exists,447,
F006,billing_claims,AT_COMMIT,8,3.6,4.2,2.9,2.8,2.5,3,7.7,8.3,absent,0,data_normalisation|ehr_record_retrieval|compliance_certification
F007,biomarker_lab_panel,before_commit,7,3.8,3.8,2.8,3.3,2.5,3.2,3.5,3.8,absent,0,
F008,care_team_collaboration,human_fallback,6,3.7,3.6,3.2,3.4,3.2,3.2,5.3,5.7,absent,0,
F009,clinical_decision_support,before_commit,8,4.1,3.6,4.2,4.4,4,3.8,3.4,4.6,absent,0,data_normalisation|rag_grounded_answer|explainability_provenance|regulatory_clinical_validation
F010,clinician_review_loop,human_fallback,5,4,4,3.2,3.6,2,3.6,6.0,6.5,absent,0,
F011,coaching_service,human_fallback,7,4,4.5,3.2,2.5,2.9,2.6,6.1,6.6,absent,0,
F012,community_social,wrapper,11,3.1,3.6,3.0,2.4,2.8,2.4,1.8,1.9,absent,0,
F013,compliance_certification,wrapper,10,3.1,4,3.4,2.8,3.1,4.2,2.0,2.2,absent,0,
F014,composite_health_score,before_commit,5,4,3.8,3.6,2.8,2.6,2.6,3.8,4.1,absent,0,longitudinal_timeline|data_normalisation|explainability_provenance
F015,consent_management,before_commit,10,3.7,3.8,3.2,2.7,3.1,3.5,3.1,3.3,absent,0,identity_resolution
F016,content_education,before_commit,13,3.6,3.4,3.0,3.3,2.9,2.3,2.6,2.8,absent,0,
F017,conversion_growth_surface,wrapper,11,3.1,4.0,2.5,2.2,2.3,2.3,1.9,2.1,absent,0,
F018,data_export_portability,before_commit,11,3.8,3.2,3.1,2.4,2.9,3.2,2.7,2.9,absent,0,
F019,data_normalisation,before_commit,6,3.3,4.3,3.7,3.6,3.7,3.1,3.6,4.9,absent,0,fhir_api_surface
F020,device_sdk_ingest,before_commit,6,3.8,4.2,3.4,2.4,3.1,2.9,3.8,4.1,absent,0,
F021,documentation_scribe,AT_COMMIT,6,3.9,4,3.4,3.8,3.8,3.8,8.3,10,partial_exists,362,ehr_record_retrieval|data_normalisation|clinician_review_loop
F022,ehr_record_retrieval,before_commit,10,3.8,4.1,3.7,3.4,3.3,3.6,3.3,3.6,absent,0,fhir_api_surface|consent_management|identity_resolution
F023,employer_enterprise_admin,wrapper,5,2.5,3.8,3,2.3,2.3,2.7,2.1,2.3,absent,0,
F024,evidence_generation,before_commit,6,3,5,3.2,3.5,3.1,3.2,3.9,4.2,absent,0,data_normalisation|population_health|consent_management
F025,explainability_provenance,before_commit,11,4,3.6,2.4,2.6,2.3,3.2,3.0,4.1,partial_exists,815,
F026,fhir_api_surface,before_commit,13,3.1,4,3.3,3,3.4,3.4,2.6,2.8,absent,0,
F027,gamification_habit,wrapper,12,3.9,3.9,2.6,2.5,2.4,2.3,2.0,2.2,absent,0,
F028,genomic,before_commit,3,4.5,4,4.3,4.3,4.5,4,4.3,4.6,absent,0,
F029,identity_resolution,before_commit,3,3.8,4,3.9,2,3.5,3.5,4.0,4.3,absent,0,
F030,imaging_capture,before_commit,6,3.4,3.8,3.6,2.6,3.2,3,3.4,3.7,absent,0,
F031,inventory_supply,AT_COMMIT,4,3,4.4,3,2,3,3.8,8.4,9.1,absent,0,
F032,localisation_multilingual,wrapper,10,3.5,3.8,3.2,3.1,3.1,2.6,2.0,2.2,absent,0,
F033,longitudinal_timeline,before_commit,13,4.0,3.8,3.2,2.5,2.9,2.6,2.9,3.1,partial_exists,684,data_normalisation|identity_resolution|consent_management
F034,marketplace_commerce,wrapper,13,3.4,4.1,3.5,2.5,3.1,3.1,1.9,2.1,absent,0,
F035,offline_low_bandwidth,wrapper,4,3.5,3,3.8,2.7,3.7,2.8,2.1,2.3,absent,0,
F036,onboarding_flow,wrapper,7,4,4,2.3,1.7,1.9,2.1,2.4,2.6,partial_exists,426,
F037,ordering_eprescribing,AT_COMMIT,9,3.2,3.7,3.6,3.4,2.8,3.7,6.6,7.1,absent,0,ehr_record_retrieval|identity_resolution|safety_guardrails|clinical_decision_support
F038,patient_reported_input,before_commit,5,2.8,3.5,2.5,1.4,2.1,1.3,3.1,3.3,absent,0,
F039,personalised_recommendation,before_commit,5,5,4.3,3.7,2.7,2.4,2.6,4.5,4.9,absent,0,longitudinal_timeline|clinical_decision_support
F040,population_health,before_commit,3,3,3.7,2,2,2,4,3.5,3.8,absent,0,
F041,protocol_commitment,AT_COMMIT,6,4.8,4.4,3,3.5,2.9,3.2,9.6,10,absent,0,personalised_recommendation|task_workflow_engine
F042,provider_discovery,wrapper,5,3.3,4,3.4,3,3,2.5,2.4,2.6,absent,0,
F043,rag_grounded_answer,before_commit,12,4,4.2,3.8,3.1,3,2.8,3.1,4.2,partial_exists,655,data_normalisation|explainability_provenance
F044,referral_care_coordination,AT_COMMIT,7,3.8,3.3,3.1,2.7,3,3,7.1,7.7,absent,0,identity_resolution|consent_management|task_workflow_engine
F045,regulatory_clinical_validation,wrapper,4,3.4,3.8,3.5,4,3,4,2.4,2.6,absent,0,
F046,risk_scoring,before_commit,2,,,4.2,3.5,3,2.5,3.2,3.5,absent,0,
F047,safety_guardrails,wrapper,14,4.2,4.0,3.2,3.9,2.8,3.9,1.9,2.6,partial_exists,852,explainability_provenance
F048,scheduling_booking,AT_COMMIT,6,3.9,4.1,2.9,2.8,2.7,3.3,8.4,9.1,absent,0,identity_resolution|task_workflow_engine
F049,security_access_control,wrapper,13,3.6,3.9,3.1,2.3,2.9,3.7,1.8,1.9,partial_exists,926,
F050,subscription_billing,wrapper,14,3,4.2,2.4,1.9,2.2,2.2,1.7,1.8,absent,0,
F051,summarisation,before_commit,10,3.7,3.7,3.3,3.2,2.7,2.9,3.0,3.2,partial_exists,309,
F052,task_workflow_engine,AT_COMMIT,15,3.2,3.6,3.2,3.1,3,3.1,5.1,6.9,partial_exists,1767,safety_guardrails|longitudinal_timeline
F053,teleconsultation,human_fallback,2,4,4,,,,4,6.6,7.1,absent,0,
F054,ui_automation_execution,AT_COMMIT,7,4,3.7,3.4,3,3.3,2.7,7.8,10,partial_exists,1747,task_workflow_engine|safety_guardrails|explainability_provenance
F055,wearable_biometric_stream,before_commit,13,3.8,3.7,3.3,2.2,3.0,2.3,2.7,2.9,absent,0,
