Feature,Purpose,Evidence,User Value,Business Value,Engineering Complexity,Clinical Complexity,Infrastructure Complexity,Regulatory Complexity,Estimated Team,Estimated Months,Priority,Category,Copy,Improve,Ignore,Reinvent,Moat,Confidence
Role-based navigation: Learning / Clinical Care / Teaching,Reduce context-switching by organizing the product around user intent and career role,https://www.amboss.com/us/newsroom/new-navigation,Faster entry to relevant tasks; clearer mental model,"Supports expansion beyond students into clinicians, nurses, PAs and educators",Medium,Medium,Medium,Low,PM+UX+FE+BE+Data,4-8,High,Platform navigation,Yes,Add patient/family/coach roles for Ovexis,No,Reinvent as longitudinal role graph,Medium,🟢 Confirmed
Knowledge Library,"Provide evidence-based medical knowledge with article structure, references, images, flowcharts",https://www.amboss.com/us/features,Immediate trusted answers and deep learning context,Core subscription value and content moat,High,Very High,Medium,Medium,Medical editors+illustrators+CMS+Search,18+ ongoing,Critical,Medical content,Yes,Personalize to patient context if regulated,No,Reinvent as patient-specific evidence layer,Strong,🟢 Confirmed
8-eyes content review / editorial policy,Quality-control content through multiple physician and copy-editing reviews,https://support.amboss.com/hc/en-us/articles/6365572887188-AMBOSS-Content-Policy,"Trust, safety, authority",Brand moat; lowers clinical-risk perception,Medium,Very High,Low,Medium,Clinical editorial operations,Ongoing,Critical,Content QA,Yes,Formalize evidence grades and update SLA,No,Use transparent provenance ledger,Strong,🟢 Confirmed
Sources and references in articles,Expose source citations and DOI/link-outs at article end and throughout platform,https://support.amboss.com/hc/en-us/articles/6365572887188-AMBOSS-Content-Policy,Verifiability and defensibility,Trust and clinician adoption,Medium,High,Medium,Low,Medical editors+CMS,6-12,Critical,Evidence,Yes,Add live guideline-diff alerts,No,Evidence graph with freshness/conflict scores,Strong,🟢 Confirmed
High-Yield mode,Hide lower-yield article content relative to a selected study objective,https://support.amboss.com/hc/en-us/articles/360035199871-Feature-Overview,Focus and reduced cognitive load during exam prep,Retention and exam-result differentiation,Medium,High,Medium,Low,Clinical tagging+FE,6-9,High,Learning UX,Yes,Make dynamic by exam date and goals,No,Personal yield mode for health goals,Medium,🟢 Confirmed
Key Exam Info / Learning Radar,Highlight high-yield text and red underline content linked to previously missed questions,https://support.amboss.com/hc/en-us/articles/360035199871-Feature-Overview,Turns mistakes into targeted remediation,Improves Qbank-library loop and retention,High,High,High,Low,Data science+Clinical tagging+FE,9-12,High,Adaptive learning,Yes,Use spaced repetition and mastery thresholds,No,Reinvent for longitudinal disease-risk gaps,Strong,🟢 Confirmed
Personal highlighting,Let users highlight text inside AMBOSS articles,https://support.amboss.com/hc/en-us/articles/360035199871-Feature-Overview,Personalized studying and review,Increases stickiness and user-generated context,Low,Low,Low,Low,FE+BE,1-2,Medium,Personalization,Yes,Add AI summarization of highlights,No,Use as memory substrate,Weak,🟢 Confirmed
Notes in article sections,Add personal notes at section level; sync to Knowledge app,https://support.amboss.com/hc/en-us/articles/360035199871-Feature-Overview,Capture context near the knowledge object,Retention and re-engagement,Medium,Low,Medium,Low,FE+BE,2-4,Medium,Personalization,Yes,Add note-to-task conversion,No,Collaborative care notes with governance,Medium,🟢 Confirmed
Collections / Favorites,Save articles/media/substances to custom collections,https://www.amboss.com/us/features,Organize repeated workflows and curricula,Retention; group/educator workflows,Medium,Low,Medium,Low,FE+BE,2-4,Medium,Personalization,Yes,Add auto-curated collections,No,Care-plan collections in Ovexis,Medium,🟢 Confirmed
Split View,Open related Library article next to current article or Qbank,https://support.amboss.com/hc/en-us/articles/360035199871-Feature-Overview,No tab-hopping; efficient context building,Differentiates integrated platform from single-purpose Qbanks,Medium,Low,Medium,Low,FE,3-5,High,Workflow UX,Yes,Extend to patient timeline + guideline side-by-side,No,Multi-pane clinical reasoning workspace,Medium,🟢 Confirmed
